https://item.jd.com/100027993347.html,"['卡萨帝K75E18', '100027993347', '44.8kg', '中国大陆', '70-77英寸', '艺术电视，适老电视，K歌电视，开机无广告电视，游戏电视', '3840*2160', '3.5-4m', '否', '三级能效', '人工智能语音', '无摄像头', '120Hz']"
用户名,评分,评论
5***6,star5,很适合家里的装修，物廉价美 爱了，很赞很满意值得推荐还在犹豫的朋友们可以下手了，操作简单，感觉速度挺快，第二天就收到了，很快，都以为很贵，很开心的一次购物，产品外观漂亮，整体造型非常好看，不错的品牌，这次购物很成功，各种小细节做的很到位，家里面积小可以用到，容量大小真好，东西很不错，调节也很简单老人家也会用，操作简单，按键灵敏
3***7,star5,我很满意亲爱的，品质在那，也没什么更多可说的，正品保障，售后服务好，满意极了，下单一天就收到了，产品质量超好，包装完整，发货速度快，非常满意，反正一样的东西，当然价格低一些比较好呀，尺寸合适 价格实惠，耗电量低，简洁大方，轻奢风，态度很热情，质量非常好，功能强大，发货迅速态度很好，一如既往的好，还会再来，值得肯定，非常好，很喜欢这个风格，东西不错
2***5,star5,"买到就是赚到，令人放心，给老人耐心的讲解了如何操作，性价比无敌，买了没有后悔，非常满意的一次购物，可以放心下单，网上下单挺方便，果断下单买了，这个尺寸不占空间，各种活动优惠后也到位，操控灵敏，特别方便，纸壳箱结实完好，产品也很好用，物流很快,搬运服务到位，找到你心中的宝藏是一件非常幸福的事情，物超所值，真的很值得购买，颜色是家里人喜欢的，设计我也很中意"
j***d,star5,电视已收到安装师傅上门安装完毕，电视效果非常好，安装师傅水平也很棒，非常满意的一次购物，以后再买家电还会选卡萨帝，京东客服小妹人也非常好?，满意！
2***1,star5,大小刚刚好，颜色也好看，感谢京东赠送优惠券，服务好，是个好卖家，产品的发货和安装都特别快，老牌子值得信赖非常大，智能模式挺人性化，老板还给了小赠品，超级喜欢东西也喜，性价比超高，买了不后悔，服务好，质量有保证，做工精致，磨砂质感，感觉这个品牌挺好的，超出期望，试了试，效果不错，家里几口用着方便，很好看给人一种简洁大方的感觉
3***2,star5,送货上门，包装完美，对于小家庭来说非常棒，美观实用，杠杠滴！爱了爱了爱了，质量很好，下次还会再光顾，商品质量好而价低廉，安装很快，预约后第二天就来了，很舒适宝贝收到了挺不错的，很满意安装方便 操作简单，外观和大小都很满意，，看着挺好看的，没有噪音，非常棒，
4***9,star5,材质感人，做工很精细，我很满意，外形外观高贵大方，喜欢，好评，性价比高，值得购买的好商品，，几乎听不到什么声音，操作很简单便捷功能也很全面，迫不及待过来好评，外观大气，稳重，存放时间长，质量也不错到货也很快宝贝很好，深色磨砂很有质感，质量不错，物流也很快啊，质量真的超好！穿上很舒服，官方正品，外观设计有特点，效果不错，物流太快了吧
2***6,star5,很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心实用性和颜值都非常的赞，我很喜欢，还会再来买的
j***p,star5,电视收到，中间出现很多小插曲，但现在都解决了，电视很好，现在买电器都选择卡萨帝这个品牌了
d***b,star5,显示效果 很好 售后服务很极速 这个支架 很有美感 亮度也是不错的
龙***L,star5,电视非常好，音效非常好，物超所值，真的很喜欢
2***5,star5,东西很好，物美价廉，经济实惠，物流速度快，售后服务到位，服务好
1***3,star5,跟描述的是一样的，很显高档，物美价廉，要买的朋友可以下单噢！
u***j,star5,收到电视机了，很满意，电视机很大气，很喜欢，好评???
3***4,star5,很大程度上提高了使用方法和技巧，很喜欢的东西
5***8,star5,外形外观：外形真的很高端，尤其是脚架好像燕子一样漂亮????运行速度：运行很流畅???屏幕音效：用的是雅马哈音响，音质很棒～???
3***6,star5,材质感人，做工很精细，我很满意，外形外观高贵大方，喜欢，好评，性价比高，值得购买的好商品，，几乎听不到什么声音，操作很简单便捷功能也很全面，迫不及待过来好评，外观大气，稳重，存放时间长，质量也不错到货也很快宝贝很好，深色磨砂很有质感，质量不错，物流也很快啊，质量真的超好！穿上很舒服，官方正品，外观设计有特点，效果不错，物流太快了吧
j***y,star5,非常的好，质感，观感都很好，推荐大家购买，游戏效果很期待等手柄到了
5***8,star5,外形外观：看上去非常高端大气～?运行速度：运行流畅，YYDS???屏幕音效：雅马哈音箱绝绝子哦????尺寸大小：65寸很适合家庭的空间～看着很舒服?
1***0,star5,种草这款电视很久了、6.18下手超合适、电视很有质感画面清晰、送货安装都很及时、京东就是快、拍照没用拍出来效果、实际颜值很高
陪***主,star5,超级喜欢卡萨帝的产品，真心地好，在图片上看不出，我是去商场看的，看好了才来京东买的，雅马哈音响效果那叫一个好，性价比很高
X***8,star5,海尔卡萨帝电视高端、大气、上档次，安装专业服务好。
i***I,star5,一直就对这款电视机情有独钟，出了一点小插曲，但是客服售后态度很好，服务很好，会一直选择卡萨帝。
i***I,star5,电视机安装完毕，机身很漂亮，很轻薄，会推荐。
3***8,star5,大厂家，送货？服务！外观设计非常好看，上网运行速速度很快，色彩鲜艳夺目非常好看，音质效果非常棒，用它听歌非常爽，非常喜欢，非常满意！
3***4,star5,送货很快，服务很好很专业。而且到了就过来安装了，大品牌就是不一样。银色的边框搭配前置音响很大气，清晰度很高，反应挺灵敏的，反应速度又快65寸够大了。
4***8,star5,卡萨帝的电视非常大气，65寸大小合适，机身非常的薄，边缘是弧形的非常的光滑，带有外置音响，设计非常好看，屏幕非常清晰，运行速度非常快，买的太划算了，超级喜欢这款，推荐给大家！
3***8,star5,客服的服务也很好，放起来也很便捷，质量好物流快，售后服务态度好，用的也放心，买之前看过朋友家的，操作方便价比高，送货的师傅很负责任，也很小心，功能强大，细节完美，合作愉快，质量不错，棒棒的，京东真是厉害了，真棒，优秀的京东物流服务，卖家非常守信用，发货及时，派送快！5颗星赞，真的很爽心大气，震撼效果。很满意，
5***0,star5,很成功的一次网购，即实用又美观，是一次愉快的网购，家里着急用，最快的速度发货的，物流很贴心，配送上门，京东真便宜，店已经收藏了很久，第一次买，安装的师傅很专业，态度也很亲切，很有档次，质量不错，非常好用很满意，，主要还是品牌，产品非常静音，师傅尽责，服务贴心，不要犹豫了很好的卖家，很棒，颜色很简约 做工精细，老牌子值得信赖非常大，
股***机,star5,性价比非常高的一款电视机，外观设计时尚，总体来说很满意！
4***1,star5,买了很多东西.都非常满意。很好的卖家！我会常来的！和实物基本上没有什么差异。
5***8,star5,外形外观：一体成型，看起来很漂亮，没有分割感，像个电影院一样运行速度：挺快的屏幕音效：音质很好，没有爆音的现象出现尺寸大小：65寸，挺大的了功能效果：效果很好，色彩很出众
3***5,star5,电视外观大气漂亮，质量不错，屏幕清晰度高，音效好，试机运行正常，最赞京东物流，送货超快。
2***8,star5,不错，我一惯支持，强烈推荐的，京东送货快很不错，非常好，超乎你想象，和商家介绍的一样，性价比很高的一款机子，安装用心，安装师傅专业，会推荐家人朋友在京东购物，足不出户就能买到心怡的物品，安装师傅服务超赞，使用方便不错，使用简单效果不错，如果活动更多一些就好了，节能省电，一直开着的，外观非常好看，效果非常好，
n***3,star5,外形外观：大气，运行速度：速度快，屏幕音效：太棒了
3***6,star5,东西很好很喜欢，质量很好，配送很快，服务态度很好，还会继续支持京东
3***8,star5,非常满意?，材质做工非常好，而且百搭，手感也很棒，非常nice，实用性非常强，赞?
6***9,star5,877777，师傅很专业，妈妈很满意，性价比很高的一款，好评，功能齐全，外观简约大气，省电、好用、节省空间，实物很漂亮，感觉非常的实用呢，适合咱们家用，一直想买这个，性价比高，活动价格实惠，很不错很不错，产品包装很好，开箱完好无损，简洁漂亮，很搭配家里风格，外观没有什么变化，效率很高，哈哈哈哈挺好的，操作简单，
j***w,star5,电视很好，配着空调买的，安装人员也很好
3***4,star5,很大程度上提高了使用方法和技巧，很喜欢的东西
1***8,star5,高端大气上档次   运行够快屏幕清晰音质好
2***8,star5,其他就是感谢店家打折送券活动，性价比：很高哦，女朋友也很喜欢，配送安装服务也很快，收到后也没有让我失望，服务非常好的，外地比别的品牌重，又大气，整体很棒 用起来舒服，2086，服务态度很好  很喜欢，节能省电满意，非常好！质量好，送货小哥哥很负责，给小哥哥点赞，比较百搭。用着放心，特别好，做工精美漂亮大方 ，是可以信赖的好店家，100个辣椒，
2***5,star5,东西很好，物美价廉，经济实惠，物流速度快，售后服务到位，服务好
3***8,star5,在这个价位很不错了，机身惊艳我了，很美观，很多细节注意事项交代很清楚777，全家都很满意，性价比高，颜值也不错，一如既往的好果然没有失望，操作简单方便上手快，安装师傅非常热情、服务态度很好，服务也不错，给好评一个，我先试试看，质量真不错 中国制造 世界第一，人很热情，机器颜值也很高，是我喜欢的！配送很快哦，评到所有人都看到为止，物流很快 服务很赞，
2***8,star5,省事，愿京东越办越红，亲戚朋友都说好，试了一下 很好用上档次，性价比很高操作便捷，非常好呀，物美价廉，使用方便便捷，上门安装的师傅服务也很好，京东上搞活动购买的超级划算，外观时尚颜色好看节省空间，一如既往的好果然没有失望，器很好，服务服务非常满意，品质优越，细节完美，值得购买，质量也不错，很喜欢，包装太严密太好了，产品质量很棒 赞，京东速度就是快，
j***a,star5,满意的一次购物，装好宽带马上试看体验了一下，效果清晰，音响也很棒，京东值得信赖。
4***8,star5,商品质量很好，很满意，配送速度快啊，而且配送员态度也非常好。
3***5,star5,实物超乎预料很满意，大牌子非常好，服务一流，东西的确很不错，颜色很好看内部空间挺大的，与卖家描述的完全一致，颜色没有色差，京东送货非常快，服务态度好满意，值得等待  值得信赖不愧为国产第一品牌，家里人很喜欢非常满意，大家都很喜欢赞，外形外观：很洋气 高大尚，可以安心的住下了，挺有档次的，外形外观美观大方，服务态度好，大品牌值得信赖，外观比较好看，总的来说完美，
小***道,star5,质量好，很喜欢，非常不错。
3***6,star5,服务很好，会介绍给朋友的，不止这个价啊，产品非常不错，34346，安装顺利，一会儿就安好了，试试看，效果很好，谢谢，五星好评，非常精致典雅高端大气上档次，赞，大品牌值得，信赖，整体太赏心悦目了，非常好，有质感，科技感、时尚感十足，预约安装服务很到位，看着就舒服外观漂亮，提前联系我送货时间，太贴心了，安装满意，送货满意，
3***4,star5,评到所有人都看到为止，结构合理 非常实用，很方便很简单，安装师傅很耐心，操作很容易 物流很快就到家了，客服服务态度极好，很有耐心、给人一种亲切感，好喜欢，用料厚实，颜色很正，物美价好，马上还再购买2台，产品很完美 家人很喜欢，性价比高已推荐给朋友，购物比实体店便宜多了，就是用来嘚瑟的，欢迎大家购买，值得每一个中国家庭拥有 很棒，这次没踩坑买对了还超值，快递迅速。安装师傅安装专业，
3***9,star5,可以信赖的好商家爱了，物流效率高，包裹包装的很细心，这机子这不错啊，宝贝简直不要太好了，省事，愿京东越办越红，想信京东，以后还会来，租户说没有任何问题，买家电我们喜欢在京东上购买，价格给力售后安装服务也很好，耗能很少，真的很省666，功能也能满足日常需求，看上去高大上这个牌子不错，从此不用担心东西放不下了，推荐购买，既安全又实用 售后很给力，
1***3,star5,质量很好，收到货第一时间打开看了，很不错，很满意
5***5,star5,我选的东西果然不错，今年的新款很不错，推荐，造型精致，租户说没有任何问题，看起来好美观大方，效率卖家，东西也不错，用了好几天才来评价的，非常满意，已经在这家买了好多次了，宝贝真的让人眼前一亮，给岳父大人买的用了很不错，耗电量低使用方便，给人感觉特别高大上，安装速度快，服务好，继续购买了这款，售后很棒，不错，快递小哥非常有礼貌，
谢***电,star5,画面清晰，漂亮，很好看，售后很好，赞赞赞外形外观：漂亮运行速度：流畅尺寸大小：很合适
3***6,star5,安装好了，收货速度快，，外形很好看，家里人都挺满意，很满意的一次购物 888，家里电器都是京东买的，挺好的我真的很喜欢，想信京东自营店，效果贼6 必须好评，非常节能，值得购买，物流快，安装满意，功能效果非常强大，服务太神速了，无敌喜欢，颜值很高，大家电都在京东卖的，方便，超值！尺寸比想象中的要小还不错，服务态度好非常好，
3***5,star5,师傅很耐心，安装的很美观，这次新房毫不犹疑的选择了，提高舒服度和安全度，这款大小合适喜欢的不要犹豫了，老品牌了，满意的一次京东购物，价格实惠质量也很好，宝贝比我想象中的好太多了，送货安装也很快，果断新房也买的这个，店家服务也不错，安装速度快，安装效率高，做工真的非常精细 细节真的棒，卫生也帮忙打扫干净了，京东大家电质量还是很不错的，
3***6,star5,爸爸夸我买的好，快递小哥非常棒，提前沟通送货上门时间，非常细心，认真，包装完好，跟想象的一样太满意了，外观大气师傅安装也比较仔细，外观大气，特别喜欢，好评，蛮好的，呵呵，老顾客了不多说了，美观，值得点赞 送货快，安装快，简直快乐过神仙，邻居都说好想买羡慕了，不错哦我很满意，设计很讲究，外表好看，可以安心的住下了，
3***5,star5,电视外观好看 屏幕非常清晰 效果 非常好 运行内存大京东物流速度快 送货安装服务非常好
良***1,star5,非常合适，没有搞卫生就迫不及待了，音响效果很nice
3***6,star5,已经推荐身边朋友购买，送货很快下单第二天就收到了，对这台产品，很喜欢，5星好评，这个真的太可了，满足不同需求，安装师傅也很赞，东西今天收到很满音谢谢老板，制质量非常棒，很喜欢啊很喜欢很喜欢，性价比高，颜值也不错，趁活动 冲呀，外观简洁大方操作简单，第二天就收到了，非常满意，发货速度比较快，安装服务到位，五星好评，非常好的一次购物体验 大品牌，
瑞***设,star5,电视收到了，卡萨帝不愧为高端品牌，非常漂亮，大气。
6***9,star5,75电视已收到，颜色比较鲜亮，运行速度特别快
2***7,star5,服务好，物流快，安装及时，非常满意！
4***1,star5,高端品牌，不错，服务也很好！全套家电都是京东上购买的！信赖京东！
3***8,star5,心心念念的终于用上了开心，100016102316，京东小哥送货上门，产品质量杠杠的，颜值高，超性价比高购物比实体店便宜多了，没想到在网上买的这么合适，款式新颖操作方便，非常出乎意料，下次还会来的，好卖家，继续关注，一切OK，包装完好无损，很开心我能拥有他，外观很漂亮，很喜欢，发货快，服务好，价格便宜，和页面说的一样，THANK YOU，第二次买了，帮亲戚买的，100010402405，
j***0,star5,语音控制很棒很。很喜欢！
3***8,star5,配送及时，而且外包装很好，卡萨帝高端品质，电视洗衣机都是家电中的佼佼者，绝对值得选用，我自己就是用的这款哦
潜***击,star5,卡萨帝非常不错，值得信赖！
3***9,star5,非常不错，性价比高，值得入手
j***G,star5,电视很棒，值得信赖！
5***8,star5,好  很好  非常好
干***亿,star5,产品质量很好的哦，大品牌值得信赖。
2***6,star5,卡萨帝的电视非常大气，65寸大小合适，机身非常的薄，边缘是弧形的非常的光滑，带有外置音响，设计非常好看，屏幕非常清晰，运行速度非常快，买的太划算了，超级喜欢这款，推荐给大家！
3***3,star5,外形外观：超级好运行速度：超级好屏幕音效：可以的尺寸大小：可以的
3***6,star5,京东物流速度快，服务好！送货速度杠杠的！
2***5,star5,东西很好，物美价廉，经济实惠，物流速度快，售后服务到位，服务好
5***9,star5,很喜欢这个品牌，送货师傅和安装师傅服务态度很好
3***9,star5,安装师傅非常满意，服务非常满意！
2***5,star5,东西很好，物美价廉，经济实惠，物流速度快，售后服务到位，服务好
2***6,star5,安装师傅辛苦了，非常好
曹***属,star5,电视做工精美，画质清晰，运行流畅，京东物流快速，安装人员服务好，卡萨帝京东给我不错的体验感！
6***8,star5,电视清晰度高，质量好颜色不错挺好用
6***9,star5,电视机收到，外观时尚，雅马哈音响效果好，运行速度快
1***7,star5,商品符合描述，主要是活动便宜，能省很多钱
2***9,star5,京东家电就是好，配送快，服务好，价格还优惠，以后买家电就选京东
2***5,star5,运行速度快，音效好！
4***2,star5,电视屏幕清晰，尺寸刚好，送货师傅服务态度好
4***2,star5,电视屏幕清晰，尺寸刚好，售后服务态度好
u***z,star5,值得信赖品牌，，，，
5***2,star5,送货快，师傅安装服务态度好！比较满意的一次购物体验！
4***2,star5,电视尺寸刚好，屏幕清晰
6***8,star5,物有所值，值得购买，物流快质量好
您***手,star5,4K超高清，8K解码，语音控制
1***9,star5,卡萨帝不愧是高端品牌，遥控器都是金属材质的
5***8,star5,电视看起来真的非常舒服，功能不错，用起来比较方便。画质清晰，内置大内存不卡顿。音质各方面都很好。性价比非常好高的一款电视，图像清晰亮丽，声音音响一流，家人非常满意，选择真的没有错，电视机销量很高，这次选来选去最终还是选择对了，很庆幸。一如既往的支持!
好***的,star5,京东小哥特别给力，很便捷，家电质量有保障，完美，尽显高大上，强烈推荐，物美价廉，很满意一次购物，灰黑色，很有质感，物流送的很快，点赞，真是值得推荐的居家必备，产品很好，太满意了，配送物流很快，配送师傅服务态度特别好，优惠~力度很大，赞，容量大够一家人，服务很周到，非常满意，已经是第二次购买了，爸爸妈妈孩子都说好。物有所值，使用感觉非常好，
京***海,star5,质量很好，外观好看，感觉不错，价格很实惠，非常喜欢，客服非常到位，价格低，服务好，质量没的说，用过之后才来评价，送人的，朋友很喜欢，颜值也很高，送货师傅很认真，性价比非常的突出，这是良心的推荐，安装师傅尽职尽责，用无懈可击来形容，放在家里还挺好看，做工精致，打开包装，运行几乎无噪音，包裹的严严实实没有任何破损，容量足够一家三口用啦，
2***6,star5,很喜欢这个质量不错，送给家人的乔迁礼物，质量好，价格实惠点赞狂魔，东西包装的很好，价格优惠真的喜欢，非常满意的一次网购，家里人都夸我会买东西，声音小，大品牌，服务也很好，安装师傅主动电话约定安装，省心且放心，完全静音.还有前卫的家居互联设计，感觉很不错，送货快，服务周到，五星好评，官方正品，外观设计有特点，很漂亮，真的很好，质量相当好，着急用就在京东下单了，外观也非常漂亮，
3***4,star5,"外形外观都很好，没有色差，这个颜色还挺好看，17843874，摸起来质感很舒服，超赞，大小刚好合适，掌柜很热情，很好的简直是太好！下次还会买的，超高颜值 爱了爱了，没有失望，宝贝颜色大气百搭，声音还是可以接受的，外观做工精细，细节之处堪称完美，东西包装的很好,完好无损，价格超级优惠，速度也很快，很麻利，包装质量非常好，493084，哈哈 老婆很喜欢，"
3***6,star5,值得信赖，物美价廉哟，质量很好，而且装的也挺好，支持，强烈顶起，非常值得购买，大小刚刚合适，颜色鲜艳，安装师傅特别负责，975657，价格比较满意，外形沉稳大气，颜色好看，空间够大，运行时声音很小，安装师傅技术专业，外观材质：摸着很光滑，还搞活动，很划算了，姐姐推荐给我的，感觉不错，终于找到适合的型号了，五星好评奉上，祝生意兴隆，物流公司服务态度很不错，颜值很高，大气，
3***1,star5,外观美观，颜色很看看，大气上档次。非常清晰，高清4K ，开机运行快，开机广告可以关闭，声音完美，音响非常不错，网络电视非常流畅，还有高清摄像头。还送了鲜花，惊喜。安装服务非常好，师傅非常专业，耐心调试。
g***7,star5,外框超薄，音响清晰，挂起来感觉比较好看。安装服务到位。
低***了,star5,配送速度快，关键是卡萨帝可以保修5年，很划算的！安装好了之后再追评！
1***6,star5,"宝贝收到了，价格实惠，质量真的不错，买的特别划算。这次网购是我最满意的的一次，这个价格能买到这么好的宝贝真的是物有所值,与卖家描述的完全一致，收到的时候包装完整，包裹的严严实实没有任何破损，物流也很快。对这次购物非常满意，如有需要会回购0.3817646396259957"
北***店,star5,"宝贝收到了，价格实惠，质量真的不错，买的特别划算。这次网购是我最满意的的一次，这个价格能买到这么好的宝贝真的是物有所值,与卖家描述的完全一致，收到的时候包装完整，包裹的严严实实没有任何破损，物流也很快。对这次购物非常满意，如有需要会回购0.6376682032835943"
京***海,star5,包装很高端，客服小姐姐回答很耐心，物流很快宝贝收到了，很惊喜，质量非常好，很满意的一次购物。我会继续回购的，店家值得信赖！先说商品质量：产品总体不错，包装严实。再说商家服务：点赞啦。最后点评快递：发货很快。
3***6,star5,很精致，质量非常好，很满意的一次购物。谢谢店家！用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了质量挺好，物流也很快，赞！
3***5,star5,"嗯,收到!!宝贝真心不错,性价比很高, 经济实惠。快递的速度也是给力,收到之后打开看,各种东西放的非常齐全,包装完整,数量多分类搭配好。现在的京东就是这样,东西多的让你眼花缭乱的,还有说好也是有说不好的,怎么说的都有,真是傻傻分不清。但是一定要有自己的想法。买之前各种比较,本人选择控。想买的不要怕,该买就买。但是你家的货我会一直买下去的,给你五 星好评!!!包装的确不错,特别是外 观,觉得挺好看,挺有个性的!买了这么多次还是跟之前一样,质量真心不错,觉得新鲜,价格也真心实惠!五星好评 用完后还会光顾!!没毛病0.4650616342583431"
6***9,star5,"质量可以说是非常好了，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物，安装售后特别迅速，处理的非常好，"
佑***2,star5,装好了，好?，赞?
n***9,star5,一分钱一分货，有买错，没卖错！
-***-,star5,非常好，非常漂亮，非常完美。大品牌值得信赖，性价比非常高，用起来非常不错，非常的满意推荐购买。
j***F,star5,非常好，非常漂亮，非常完美。大品牌值得信赖，性价比非常高，用起来非常不错，非常的满意推荐购买。
4***2,star5,电视屏幕清晰，物流很快，送货师傅服务态度很好
1***8,star5,京东的的配送师傅非常给力！！！？
6***8,star5,物流速度快，服务态度好，非常满意。！！！
1***9,star5,东西不错  物流很快 不错
1***5,star5,用起来很不错，建议购买！
5***8,star5,这款商品很好用，点赞。
1***7,star5,非常满意
4***1,star5,满意
1***0,star5,满意
3***6,star5,好
5***2,star5,好
栖***8,star5,配送及时，而且外包装很好，卡萨帝高端品质，电视洗衣机都是家电中的佼佼者，绝对值得选用，我自己就是用的这款哦11
美***举,star5,今天收到就联系师傅装了，很大个颜值真是YYDS，因为没准备，因为没准备遥控器电池，还没联网
4***3,star5,京东物流速度真的快，购物体验感很好
j***u,star5,卡萨帝就是牛，视觉效果非常不错?，
4***2,star5,物流很快，送货师傅服务态度好
3***8,star5,产品很好 很喜欢 价格也不错
潜***击,star5,非常好，非常的不错！
3***2,star5,给时光以生命，而不是给生命以时光
5***9,star5,送货速度很快，师傅服务态度很好
3***8,star5,包装完好，送货很快，服务态度赞。
5***6,star5,很好！
5***6,star5,很好！
5***6,star5,很好！
4***8,star5,物流送货及时，机器很好用
4***7,star5,好
4***7,star5,好
6***3,star5,就是一个字，好
4***8,star5,很好
邵***虹,star5,不错?
4***1,star5,满意
4***1,star5,满意
2***8,star5,其他就是感谢店家打折送券活动，性价比：很高哦，女朋友也很喜欢，配送安装服务也很快，收到后也没有让我失望，服务非常好的，外地比别的品牌重，又大气，整体很棒 用起来舒服，2086，服务态度很好  很喜欢，节能省电满意，非常好！质量好，送货小哥哥很负责，给小哥哥点赞，比较百搭。用着放心，特别好，做工精美漂亮大方 ，是可以信赖的好店家，100个辣椒，
谢***电,star5,画面清晰，漂亮，很好看，售后很好，赞赞赞外形外观：漂亮运行速度：流畅尺寸大小：很合适
5***5,star5,我选的东西果然不错，今年的新款很不错，推荐，造型精致，租户说没有任何问题，看起来好美观大方，效率卖家，东西也不错，用了好几天才来评价的，非常满意，已经在这家买了好多次了，宝贝真的让人眼前一亮，给岳父大人买的用了很不错，耗电量低使用方便，给人感觉特别高大上，安装速度快，服务好，继续购买了这款，售后很棒，不错，快递小哥非常有礼貌，
3***5,star5,电视外观大气漂亮，质量不错，屏幕清晰度高，音效好，试机运行正常，最赞京东物流，送货超快。
