https://item.jd.com/100002860826.html,"['京鲜生85#烟台富士苹果 5kg装', '100002860826', '5.74kg', '山东烟台', '富士', '85mm及以上', '国产', '冷藏', '山东']"
星***n,star5,苹果包装还不错，早上下单，下午就送到了，京东自营商品，选购方便，发货很快，物流也很快，送货上门，很方便，好吃的话，吃完之后再来买。
贺***8,star5,完美，产品很惊艳，性价比合适，希望用的长久！质量很好，收到货第一时间打开看了，很不错，很满意真的好喜欢，客服态度也挺好的，值！以后有需要还会来买
柒***恰,star5,回购很多次了，收到货，明显感觉是从冷库里刚拿出来的?吃起来有点酸甜。放一阵子，会更加有苹果香，更老一点，更甜一点。蛮喜欢的。
j***J,star5,苹果很新鲜，买来送人的，吃了一个，很脆很甜，汁水很足，果子大小均匀，没有破损，京东购物值得信赖，物流速度很快，服务很好，满意！
只***3,star5,苹果很好吃，端午节买的，忘记晒图了。这次找到历史图片发出来。很脆很甜，味道就是好，山东的苹果。买的很划算，几块钱一斤，买了20斤，
j***1,star5,苹果质量好，个头大小均匀，新鲜，水分足，甜度正好，吃一口，香脆可口，价格比超市便宜，价廉物美，京东快递，送货上门，方便，吃完了再来，很满意。
f***3,star5,非常好，每次都在京东买，快递特别快及时能用上，卖了忘记多少次了，送得挺及时，关键是还好吃，认定了一家后会一直买，值得推荐。
渝***庭,star5,家里没水果了，趁在京东买其他物品之际，搜索了一下，根据销量排名及品牌规格质量的标准，买了一箱礼盒装的山东烟台苹果，商家发货很快，京东物流也快马加鞭，下单第三天就收到了，打开后规格基本符合要求，无一坏果，价格还算公道，满意！
小***巴,star5,京东自营的苹果已经多次购买了。脆脆的，特别好吃。家里人都喜欢吃。价格合适的时候，喜欢囤好几箱放冰箱里。希望京东可以经常打折，搞活动。
小***巴,star5,家里人特别喜欢吃苹果，常年保持苹果不断，京东自营的苹果好吃，有折扣的适合价格也便宜，一次都是买好几箱放冰箱囤着，非常合适。
s***u,star5,苹果收到了，还没有吃，个头很大，很新鲜，看着还不错，吃起来很甜，味道不错，京东物流给力，隔天就到了 价格实惠，下次会回购
淑***3,star5,这个红富士品质挺好的，很大，很新鲜，脆脆甜甜的那种，家人都挺喜欢吃的，京东活动的时候购买的，价格很合适，物流也很方便，送货上门
r***2,star5,反复多次购买的商品了。这个苹果味道不错，果子也很大，吃起来脆脆的，很不错。这次买，等发货挺久的，不过也挺好，刚好可以慢点吃。
x***光,star5,试过几种苹果，但这种苹果却是最大，最让人满意的???。苹果很脆，汁水很多。另外，买水果，选择京东自营的，真很有保障，不仅质量有保障，送货也很快???
J***Y,star5,京东配送，就是好，很快很快就到了，转天就到了，给予大大的好评，这样的苹果我买了很多次了，挺好的，给予大大的好评，下次还会购买。
j***1,star5,个头均匀，颜色鲜艳，这时候还能买到，这样苹果真的很不错，所以买生鲜只来京东，真的货真价实，每天都要吃一个苹果，有活动的时候都会买几箱哈哈
j***k,star5,闻名天下的著名烟台苹果，终于在京东商城买到了。我以前一直以为只有新疆苹果特别甜，很久没有购买烟台苹果，几乎忘记了。此次偶然购买一次，感觉非常好，脆脆的甜甜的，含水量也比较高，满意。
l***1,star5,日期新鲜，包装完好，质量不错，从外观看没有什么问题，不知道苹果味道怎么样，京鲜生烟台红富士苹果5kg一级大果 单果220g以上 新鲜水果礼盒    快递员特别负责任，把这么重的东西搬上楼，真不容易，谢谢快递员。
i***y,star5,商品很满意，物流也很快，买了没有多久就送到了，试过符合要求，快递小哥服务态度很好，值得表扬，后续还会考虑回购，总体感觉很满意
h***7,star5,苹果营养价值很高糖分也不是很高，男女老少都适合，家里长期没有断过苹果，以前买的第三方，品质不稳定，时好时坏，后来就买京东自营了
米***清,star5,包装非常结实，东西保护得很好，值得好评物流速度真的是没话说，就是一个字：快。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理
丛***次,star5,苹果不错，非常好吃，个头也很大，分量也很足，我一直在购买价格也很便宜，实惠京东送货，速度也是非常快，非常值得推荐购买支持京东。
j***y,star5,买的苹果很好吃，每天一个苹果对身体也很好。买上一箱苹果吃上半个多月方便实惠，整体质量也很不错。在京东买水果绝对是一个好的选择
快***w,star5,以前都是买的阿克苏，想换个口味，所以买了烟台苹果尝一尝，品相还不错，包装也很走心，味道等尝了再评价吧
j***u,star5,脆脆的，酸甜可口太棒了，物美价廉，两箱很划算，太好吃了，送过来还是冰的捏好吃，全家都爱吃太好了还可以做苹果派脆脆的，酸甜可口太棒了，物美价廉，两箱很划算，太好吃了，送过来还是冰的捏好吃，全家都爱吃太好了还可以做苹果派
X***y,star5,非常吃特别好吃，味道美味，口味好，相当的好吃，价格便宜，口味好，特别的，一定会再买的。非常吃特别好吃，味道美味，口味好，相当的好吃，价格便宜，口味好，特别的，一定会再买的。
m***e,star5,京鲜生鲜第一次买水果，这个京鲜生烟台红富士苹果5kg一级大果，非常新鲜的水果礼盒，?挺大1箱，放冰箱里冷藏了。试了一个，脆甜多汁，非常好吃，下次还会来买！
l***v,star5,价格一分钱一分货啊，水多脆甜，品质很好。孩子喜欢吃，一买了两箱，京东自营送货上门的，非常快速，昨天下单今天就到货了，特别方便。
锦***3,star5,品质特别好，水多果肉脆甜，价格是和超市差不多的，送货上门，很是方便，送货速度也快京东自营昨日下单，今日到货，孩子很喜欢，
白***3,star5,好吃，推荐购买。刚刚又买了三箱，真的很好吃，比烟台苹果差不了多少。每一个都网着呢，并且个头也非常均匀，每天早上吃一个，好吃?
十***笔,star5,买了好几次了，非常满意。在这个季节还能吃到这么好品质的苹果，太难得了！！！还会继续在这家商家复购的，希望继续保持高品质哈！！！
皓***少,star5,非常满意的一次购物，京东购物越来越满意了，水果蔬菜第二天就可以送达，味道也非常的好，没有一个坏果，非常满意的水果以后会持续购买
j***r,star5,包装不错，送礼和自己吃都没问题，主要是一次性买了三盒，今天有时间一起评价了，这种果子大小均匀合适，脆甜，另外京东物流也很快，个人比较喜欢
j***r,star5,苹果这种的水果四季都好吃，个人比较喜欢脆甜的，这款就很好，礼盒装的送人也是一种不错的选择，主要是个头也大，买过很多次了，非常不错
M***1,star5,送货速度非常快，大促期间，送货速度也是可以的。18个大苹果整整齐齐，苹果本身也是能保存一段时间的。价格合适，总体还是比较满意。
j***9,star5,又又又买了两箱这个烟台苹果，姑娘很喜欢吃苹果，上次买的两箱吃了一个月。看有活动就又买两箱，送货很快，不用出去购买，让人特省心！
m***1,star5,送货速度很快～～送货小哥服务态度非常好～～外包装完好无损～～烟台富士苹果很新鲜～～～口感味道很好～～又脆又甜～～～还会回购～～
樱***e,star5,水果很新鲜，没有一个坏的包装很到位，这种盒子送礼都很OK了呢收到就立马切了个来吃，很不错，真正的物美价廉，吃完还会继续回购
z***9,star5,一箱果子没有一个坏果，我每次买的都是大果，真的个个都大。十斤我数了下就18个左右果子，闻着苹果味很香，脆脆，非常不错。！
面***的,star5,苹果的产品包装的很精美，适合送礼我是买给家人的，我家宝宝特别喜欢吃，苹果个头大很饱满很甜，汁水充盈物流也非常快，非常棒
l***g,star5,苹果到手立马打开吃了一个，很大很脆很甜，是我喜欢的口感，活动价格也很划算，已经购买好几次了，以后还会来买的，希望一直保持优良的品质。
惊***墨,star5,很好的山东烟台红富士，个头是160克左右，小巧可爱，用量好掌控，颜色鲜艳，遍体通红，入口爽脆，甜度高，有嚼劲，是我喜欢的口感!一次两箱，属于居家必备的果品，值得购买!
武***铭,star5,烟台苹果，嘎嘎滴，真不错，吃着真香，包装也很精美，没有破损啥的，苹果个头也挺大，味道绝美，京东小哥送货上楼，服务没的说，真不错，吃完复购去
j***M,star5,看特价凑在一起买的，比水果店便宜太多了，水分足，甜度高，非常新鲜，在这个消费降级的大环境下，只能确保花费低，但是东西质量不低了。十分好评
d***5,star5,京东这个店的水果真的是可以闭眼入，每次买的苹果都不会让人失望，果子粒粒都很大，也都很漂亮，口感也很脆，比超市同价格的好很多。
吃***头,star5,非常好吃的一个苹果，苹果个头大，非常甜，果子非常大，比较好的一卷苹果，相对而言还是比较好的一款，京东物流非常好快，值得推荐！
一***象,star5,烟台大苹果就是巴适，很大个很甜，在京东自营店购买便宜划算，服务特别好，送货上门速度快得很，体验巴适，赶快去购买吧，感谢京东，
v***1,star5,京东自营，果然发货超快，晚上下单，第二天中午就送到了。商品包装很好，很结实，很好地保护里面的水果。果子很大饱满多汁，口感香甜，很好吃。
洛***华,star5,这款苹果已经多次回购了。味道非常好。是正宗的红富士苹果。又大又圆。吃起来脆脆的。饱满多姿很甜苹果味儿很足。包装的也非常完好，没有破损。
2***0,star5,京东自营的水果从来没有让人失望，这个苹果家里已经吃完好几箱了。新鲜大个，味道也很好，买的多送货上门简直太方便了，偶尔遇到小问题售后服务也非常到位，总是圆满解决
z***野,star5,快递很快，包装严实，没用破损，很新鲜，拿到手还是凉凉的，应该是一直保鲜的，多次购买了，脆脆甜甜的，整体还不错，有需要下次再来。
凯***8,star5,这个山东烟台大苹果个头好大，吃起来脆脆甜甜的很巴适，口感酥脆多汁，包装很精致，每一个果子都套上泡沫袋预防损坏，遇到京东搞活动就多买了一点囤着慢慢吃
s***3,star5,第二次购买了，给老人家的，老人反馈挺好的！很喜欢吃，苹果很脆，个个大小匀称。但愿能一如既往保证品质，吃完还会回购。快递师傅也负责。?
兔***喵,star5,发货很快，第二天就收到了，苹果?的品质不错，夏天也很脆，口感可以，果汁浓厚，包装很好，防震防摔。个头都很不小，感觉这一款性价比最高。
冰***3,star5,质量非常好，与页面描述的完全一致，收到后很喜欢，完全符合期望值，发货速度非常快，包装非常仔细、严实，京东物流公司服务态度很好，运送速度很快，很满意的一次购物。希望更多的朋友信赖京东。客服态度特好，会再次光顾的。
h***7,star5,给公司买来当下午茶的，目前感觉还是可以的，不错，京东送货也是很快很快的！下次有需要还会继续买买买的，非常非常满意！！！好吃
h***7,star5,给公司买来吃一下的，目前感觉还是可以的，不错，京东送货也是很快很快的！下次有需要还会继续买买买的，非常非常满意！！！满意
兔***喵,star5,发货很快，第二天就送到了。苹果粉红色的，口感生脆多汁，非常好，品质有保证。分量应该是足够的，每个个儿都不小，比较均匀。
赵***3,star5,这个苹果经常回购的，品质有保证，冬天的时候买和夏天买都很好吃，基本每一个都是脆甜的口感，每天吃一个苹果对身体健康有益，大家放心入手
j***P,star5,京鲜生的水果购买了很多很多次了，总体来看都还很不错。这次的8枚苹果也挺好的，个个都很新鲜，没什么问题，味道也很好，会再购买的。
螃***嘞,star5,苹果质量很好，有活动买了一箱，真的太划算了，有好吃，有好看，有性价比很高，真的很不错，想买的快买啊，真的非常好吃的哦哦。
唠***e,star5,京东送货快，上午下单，徬晚就收到了。包装完好，没有坏果。苹果的个头比较大，俩人吃一个合适，大小比较均匀，甜度适中，新鲜十足，整体很不错。
阳***-,star5,一起买了四箱，价格还不错！很好吃！是脆脆的那种！挺新鲜的！大小比较均匀！喜欢的可以买来试试！一起买了四箱，价格还不错！很好吃！是脆脆的那种！挺新鲜的！大小比较均匀！喜欢的可以买来试试！
请***风,star5,一直在京东购买东西，大到家电上千小到几块的东西，速度很快，包装也好，起码都不会坏箱子，一般都是第二天到达，很方便，点赞。一直在京东购买东西，大到家电上千小到几块的东西，速度很快，包装也好，起码都不会坏箱子，一般都是第二天到达，很方便，点赞
我***膀,star5,苹果质量很好，在京东买很方便，送货很快，非常划算，个头大小很匀称，每天一个非常好吃，比超市买方便多了，也比超市划算多了，很满意。
j***6,star5,京鲜生这个烟台红富士苹果，包装很好，大小均匀，一箱五斤左右，有十来个，味道还行。京东快递很给力，昨晚下单的，今天上午就送到了。
D***y,star3,苹果很新鲜，就是不好吃
君***早,star5,一往的好，买过多次，品质一直不错。冷链送货，口感很好，大小基本一致，没有坏的烂的，京东送货还是很有保证的。天气太热，要多吃水果蔬菜。
楚***S,star5,这个口感这个苹果口感真的是很不错，物美价廉现在做活动买了很多箱，每天干掉好几个小朋友很喜欢京东购物，方便快捷快递小哥，你们辛苦啦
楚***S,star5,这个烟台苹果真是买疯了呀，小群里的人也买给亲戚也买，大家都挺喜欢吃的，性价比很高，小朋友也喜欢吃物超所值的购物，方便快捷会继续支持的
c***p,star5,一直买京东自营这款苹果，味道很好，酸酸甜甜，价格实惠，颜值高，是回购产品，家人老人孩子都喜欢这款苹果，物流小哥也很速度～～～～
一***刀,star5,水分很足，感觉很解渴水分好买的颜值高肉厚，汁多丰富，色泽诱人好吃多汁个饱满，果核很小平常做水果沙拉也不错。果皮很薄，水分特别的足很甜果肉特别的多果子很新鲜吃起来味道真的棒咬下去清脆可口清水洗一下就可以直接吃啦
一***刀,star5,水分很足，非常好吃，感觉很解渴水分好买的颜值高肉厚，汁多丰富，色泽诱人好吃多汁个饱满，果核很小平常做水果沙拉也不错。果皮很薄，水分特别的足很甜果肉特别的多果子很新鲜吃起来味道真的棒咬下去清脆可口清水洗一下就可以直接吃啦
欢***5,star5,家里小朋友就喜欢吃苹果，从京东买了两箱，放在冰箱里冷藏起来，最近才吃完，这个苹果又大又甜，特别好吃，吃起来甜甜脆脆的，近期价格不美丽，不然再来两箱
碟***天,star5,买的苹果隔天就到了，京东的物流非常给力。苹果的质量也是没得说，非常的赞。搞活动的时候买的，价格也是很实惠了，红富士苹果非常好吃，水分足，肉质细腻。每天都吃苹果已经坚持很久了，还会继续回购的！
l***a,star5,家里水果基本上都是在京东自营买的，京东自营送货上门，非常方便。不过说实话水果是分季节的，这个时候的苹果放几天就不太好吃了。
j***u,star5,棒棒哒苹果，好吃的苹果，美美的苹果真的是很不错 ，本人超级喜欢，再次感谢店家让我拍到了物美价廉的东西 我会一直关注你们家的产品哦。已经向身边的朋友多次推荐过你们家的产品了哦。我再来购买的时候希望店家多多给我便宜些哟，呵呵，好的产品是非常值得推荐的，超好用！稳稳的！满分
j***飞,star5,我买的是一级大果，五星好评，还会无限次回购的，感谢京东隔日达，到家的时候苹果还是凉凉的，显然是从冷库里取出来的新鲜果子，保存的非常不错，苹果味道不错，光泽诱人，一直买这款苹果，相信我的推荐没有错，绝对不能让您失望，再次给出五星好评，持续回购！
I***7,star5,个头很大，只烂了一半而已，很满意，儿子老婆都喜欢吃，推荐大家购买，红润水分多，很有饱腹感搭配黄瓜享用会更加美味，推荐大家购买
q***9,star5,东西比我想象中的还要完美，十分给力，很新鲜，一个坏果都没有，值得入手，包装非常结实，东西保护得很好，值得好评东西很满意哦，美观时尚大气，客服超级有耐心，服务细致贴心，大品牌就是不一样
猪***汪,star5,面对重重压力我坚持要买，我相信这个月工资不白花，水果及时收到了，打开包裹的一瞬间，这颜值这口感太棒了，包装也很用心，一如既往的好评
一***萍,star5,一如既往的好，商家还是很用心，包装的扎扎实实，快递物流也是麻利如常，宝贝本身是最值得称赞，是我心中期待的样子颜色也是大气十足，没有比收到自己满意的宝贝在让人能如此喜悦了。总体来说一如既往的让人称心如意，满满的感动，赞一个
白***尽,star5,给单位购买，一直在京东上购买，非常好用，价格公道，品质有保证，快递也很给力，快递员服务到位，不耽误使用，购物体验非常不错。
x***i,star5,苹果不错，很新鲜，刚买回来里面还有水，苹果根部看着像刚摘下来的。包装很好，没个外面都套上了泡沫，没有破损。个头均匀，超赞。
无***0,star5,苹果质量挺不错。基本上都是甜的脆的。京东上买在家买的比较多。12个果子，个头儿不大，很甜，性价比不错。京东快递次日达，买来减肥用的，早上两个苹果，中午酸奶和西红柿，晚上就不吃了，希望达到减肥的效果。吃过很多种苹果，还是富士苹果最好吃。
l***o,star5,两个宝宝特别爱吃苹果。京东物流特别给力，不仅快，而且准时，一般都是隔天到，早上下单还可以当天到，有急需都是京东购买，普通快递是比不了的。
赚***贤,star5,京东自营的山东红富士苹果非常的棒，苹果的块头比较大，口感也是清甜爽口比较新鲜，家里面一直长期购买，能够补充维生素，京东物流快捷高效，值得推荐点赞点
v***5,star5,已经回购好多次了，正宗的山东红富士苹果，个大且均匀，每个都很红，自然熟，不是那种放熟的。咬一口，脆脆的，甜甜的，很好吃。
s***3,star5,京鲜生烟台红富士苹果5kg一级大果 苹果不错，个头匀称，一箱两层，苹果很脆，买给老人家吃的，很满意，京东快递也很快。吃完会回购
o***9,star5,多吃苹果总是没坏处的。这个苹果反复买了很多次。个头大小差不差，还比较脆甜，果汁也很多。京东速度真不错，当天回下单当天就可以收到。
C***0,star5,|10斤装甄选 一级铂金大果味道不错， 现在水分依然很大， 刚回来有点酸， 冰箱放2天酸甜可口， 上下2层每层10个， 值得购买。味道不错， 现在水分依然很大，刚回来有点酸， 冰箱放2天酸甜可口，值得购买。
j***e,star5,常买这款苹果，家里人特别喜欢吃，个头大，味道甜，份量足，连盒大于十斤。京东物流速度快，包装好，下雨天也没用破损淋湿，总体很满意。
j***a,star5,苹果是好吃的，京东生鲜永远可以不用怀疑，极速达真的很不错，基本上最慢到明天上午就能送达，苹果味道很甜，以前也买过是第三次回购
b***2,star5,无限回购的一款苹果，味道相当的不错，水分很足，又很清甜，非常新鲜，我妈妈每次都要夸我买的好。会继续回购！希望品质一直保持哦！
A***风,star5,东西很不错，对比了很多家，最后下定决心买这家的，终于等到有活动，终于下手了，到货包装挺好挺完整的，性价比挺高的，需要的亲可以放心购买。
奪***8,star5,这件苹果真心不错，买的很实惠，很划算，值得购买，以后需要还会继续购买的，苹果香甜可口，水分充足，甜味足，苹果味道好，非常棒。感谢京东提供这么好的水果，以后需要还会继续购买的，超级赞！
b***a,star5,京东618的时候购买，真的是特别合适。这个时候水果店的苹果已经不新鲜，水份也不足了，但是京鲜生的还是非常好。最重要的是可以送到家啊。
k***0,star5,苹果很甜，水份很足，好吃，给同事每人一个，一半下去了，品尝了都说很好吃，快递很快，第二天就到了，夏**肥必备果品，下次再来！
木***9,star5,经常在自营买水果，经济、便宜、质量非常好，非常满意，划算，购物比实体店便宜多了，非常满意网上购物。它真的很好，而且价格也很实惠，所以以后还会在这里买。
蓝***静,star5,京东自营的苹果还是一如既往的好，回购多次了。不得不赞，质量真的好，包装物流也不错。真心喜欢，入手后不会让你后悔的！
十***笔,star5,这个季节还能吃到这么好的苹果，真是难得，爱了爱了。这个季节还能吃的这么好的苹果，真是难得爱了爱了。这个苹果真的是太脆了，很好吃，水份也很多。
l***0,star5,非常好的大苹果，新鲜水果，包装很不错，没有坏果，应该是冷藏的水果，打开有湿气，送礼佳品，包装盒红红火火的挺喜庆，第一次在京东商城买水果，满意好评！
d***9,star5,这家苹果真不错，很好吃，朋友都说好。差不多有5斤，总共有12个中果大小，有营养味道好，而且价格比实体店优惠很多，非常值得购买和回购。
仰***少,star5,苹果个头虽小，但是非常香甜可口，很好吃。颜色红氲，色泽红润，光泽饱满，包装也很周到，箱子内的苹果都用粉红色的网套包裹，防潮
j***d,star5,已经是回购了，非常划算，非常实惠，配送也快，包装完整，没有一点破损，非常赞?已经是回购了，非常划算，非常实惠，配送也快，包装完整，没有一点破损，非常赞?
j***0,star5,都说中国山东烟台的红富士苹果好吃。这次买来试了一下  确实是非常的好吃。不仅脆甜而且还非常的多汁。等吃完了还会再来回购的。
j***0,star5,苹果已经收到了。到家就迫不及待的尝了尝。味道是非常的好吃。不仅脆甜 而且还非常的多汁。真是不亏是我们中国苹果的名牌产品。还会回来回购的。
