https://item.jd.com/100038004389.html,"['AppleiPhone 14 Pro', '100038004389', '377.00g', '中国大陆', 'A16', '未公布', '暗紫色', 'IP68', 'FHD+', '以官网信息为准', '256GB', '紫色系', 'OLED直屏', '4800万像素', '苹果风，商务，科技']"
路***h,star5,iPhone 14 Pro真的是超乎想象的棒！首先，它的屏幕画质简直细腻到惊人，色彩鲜艳又真实。其次，处理器的速度让我感受到了极致的流畅，打开应用、切换界面都秒开无卡顿。还有，摄像头的表现更是令人惊艳，拍照和拍摄视频都能捕捉到细节，非常清晰。简直就是一台完美的手机！
r***7,star5,外形外观：大小合适，一只手可以掌握操控，颜色干净耐看屏幕音效：屏幕和音效都没有问题拍照效果：拍照也很清晰智能，喜欢人像模式运行速度：新手机的速度自然没什么问题的待机时间：pro 的问题就是电量捉急
z***逝,star5,这苹果手机用起来还是不错的，很小巧，摄像头也改了，拍照很清晰，运行速度非常可以，很不错，618活动买的，价钱也可以！
J***l,star5,"音质听者不错,苹果的包装很不错,用了一段时间才来评价;小白真的很美魏，系统一如很顺房，简单配个送明壳就很好者，正品值得信執，用了几天没有任何问题，而且没翻车哦安全下车,续航还不错当然颜值没的说,系统稳定流畅,反应速度很快"
电***7,star5,原封未拆封的，官网查询未激活，送人刚刚好！外形外观：很漂亮屏幕音效：色彩鲜艳，音质美丽拍照效果：很不错的运行速度：系统运行很快待机时间：可以持续一天其他特色：很合适的一款手机
j***v,star5,手机收到了  白色的简直美爆了，细腻 光滑有质感，屏幕显示顶级水平，灵动岛看起来挺不错的，拍照清晰，电影模式很棒，用了一段时间，运行非常流畅。京东送货上门  速度很快  好评！
l***i,star5,材质优秀，机身轻薄，使用体验不错，与订单相符，拍照挺好看的，亮度不刺眼，手感真的好，功能挺好的，使用起来很好，价格没的说，外观非常好看，用了几天来评价的，品牌的值得信赖，大家放心购买吧！
m***f,star5,想买紫色的没有，就买了个金色的，给孩子买的说挺好的，但毕竟这个价格在哪里也应该好啊。不得不说一句，物流非常好，零点下单，中午到货。外形外观：挺好的拍照效果：很不错运行速度：很快的待机时间：目前还行其他特色：贵贵贵屏幕音效：非常好
长***女,star5,外形外观：金色也很好看拍照效果：拍照特别漂亮屏幕音效：屏幕素质高运行速度：运行速度特别快618活动买的，优惠力度特别大，价格实惠
j***d,star5,挺好用的，物流服务都很好，新机器就是香，后面继续用下看看，耐看，手感好，屏幕看的就是舒服，高刷就是舒服，感觉打游戏也不错。
y***s,star5,作为一款高端智能手机，Apple iPhone 14 Pro Max (A2896) 128GB 无疑是一款很棒的手机。首先，这款手机拥有强大的性能，其搭载的A15仿生芯片可以处理各种复杂任务，运行速度非常快。其次，这款手机拥有一块非常大的屏幕，满足了我在观看视频和玩游戏时对显示效果的高要求。同时，这款手机的暗紫色外观设计也很漂亮，让我在使用时感觉很舒适。此外，这款手机还支持移动联通电信5 G以及双卡双待功能，用户可以快速、稳定地使用网络，也可以灵活使用两张SIM卡。总之，我非常满意这款Apple iPhone 14 Pro Max (A2896) 128GB手机，并且相信这款手机会成为市场上的一款热门商品。
j***m,star5,外形外观：外观真的是气派大方 很适合我的审美屏幕音效：屏幕光滑细腻 音效很棒拍照效果：拍照效果顶级运行速度：运行速度十分流畅
歖***柠,star5,银色很好看，大小也是刚刚好、屏幕分辨率很高、音效完美、拍照没得说、就是后台运行掉的比较多，电池续航的话也一般
u***n,star5,喜欢苹果手机，漂亮，颜色柔和好看，像素高，照相特别棒！犹豫了好久买哪款，去实体店看看，觉得14pro大小合适，买了。
u***l,star5,运行速度蛮快的，轻巧方便携带，很适合作为副机日常使用～挂挂游戏，做任务什么的也很流畅，其他方面没啥要求，所以也挺好的，待机时间还可以，一天充一次电够用了～
奇***l,star5,苹果14pro已经收到了，很是喜欢苹果手机，从五代用到14真心喜欢，特别是外观，超级棒，屏幕也是很有丝滑，音效也是很有立体声，拍照效果更是牛的很，运行速度也是超级快，待机时间也是提升了很多！
我***_,star5,宝贝第二天就收到了 很棒啊这款配色和性能都是一级棒 拍照也很超级清晰 暗紫色我心动了好久 运行很流畅 电池性能相对来说也是很不错的 一整天下来基本上没什么问题
L***z,star5,时尚、简洁的设计语言高质量的玻璃和金属材料出色的性能表现，包括A16芯片和超长续航能力三摄设计，包括广角、超广角和长焦镜头强大的电池寿命和快速充电功能
三***n,star5,拿到手，这个紫色觉了，特别喜欢，还没激活使用，不过应该都是很不错的，送给别人的礼物，希望喜欢，亲爱的朋友，收到礼物希望你以后开开心心的，幸福做自己吧
M***_,star5,刚收到手机热乎乎的，非常好看的金色，这次没有选择暗夜紫是一件正确的事，没有满大街撞款，很好看也非常好用
t***v,star5,灵动岛的设计非常的棒，电池的续航也很给力，整个手机拿在手里手感非常的不错，使用起来流畅顺滑A 16处理器很给力
风***在,star5,屏幕画质非常出色，色彩鲜艳，细节清晰。性能方面更是强大，运行流畅且响应迅速。拍照功能也非常出众，相机的画质和功能都十分出色，无论是日常拍摄还是夜间景色，都能够捕捉到令人惊艳的瞬间。
u***q,star5,相信京东，确认国行全新未拆封，声音清晰，色彩自然，对比 度高，户外也能看拍照效果：像素很清晰，色彩很鲜明，发货速度也是没的说。
灰***4,star5,很好，很有质感，画面清晰，速度很快，14pro不错，买的256个g的，容量大些，东西存得多，续航长，摄像广角清晰，系统便捷，系统性能良好。
阿***脚,star5,还是喜欢在京东买手机，在这买手机安全有保障，这是14Pro心心念念很久了，终于等到了，真的很很好用，冲一次电能用上一天，运行方面也很棒，下次还来买。
j***坤,star5,外形外观：作工很好屏幕音效：promotion特别丝滑，灵动岛 yyds，苹果的屏幕看起来真的舒服拍照效果：Pro raw 好清楚，就是一张照片 80mb百亿补贴安全下车，一手机，京东营值得信赖
小***1,star5,屏幕效果杠杠的！4800万像素的主摄像头还是很给力的，照片质量还是不错，运动模式确实稳。一句话：A16永远的神！一般轻度使用的话用一天都还能省一半的电，苹果手机真的拥有优秀的生态系统和流畅的运行速度！
j***6,star5,苹果手机依然很流畅，因为我手小买的是14pro，买的1tb的内存，上一个手机老没有内存，这次咬咬牙跺跺脚买了个1tb，颜色也非常喜欢，待机也很长使用感不错yyds
j***4,star5,续航很好拍照清晰运行畅快第一次在平台购买iphone 14pro手机，活动价格优惠力度非常大，很划算的一次购物体验，物流送货很快，东西包装也很好，没有一点破损挤压，收到货之后打开手机，银色真的好惊艳。太好看了，系统也很顺滑，可以说是很完美。
米***圳,star5,新手机性能好续航长比以前的iPhone 6好太多了。手机很人性化，用的也是最新的灵动岛系统。爸爸非常满意！
飘***远,star5,手感很不错，不大不小的刚刚好。用了一个多月今天才来评论，这么久没有发现任何问题，拍照，系统，续航等都体验很不错，值得这个价。
j***D,star5,京东自营，值得信赖。包装严谨完好无损，京东快递速度很快，价格实惠比实体店便宜一些，日期都是最新的，这款 iphone14pro非常不错，质量非常好，运行速度非常快，拍照效果清晰度很高，外观漂亮大气上档次，音效音质非常好。
别***人,star5,非常棒啊 送的也是超快 银色特别耐看 应该是颜值最高的一款了 给七大姑八大姨都买了 没有一个人是不喜欢的 确实是好手机 质感非常棒 拿在手里不是其他手机可以比的
河***蟹,star5,"我购买了这款iPhone 14,真的是太棒了！首先，它的外观设计非常漂亮，手感也很好，让我爱不释手。其次，手机的性能也非常强大，运行速度很快，玩游戏、看视频都非常流畅。最重要的是，这款手机的摄像头拍照效果非常出色，照片清晰度高，色彩还原度也很好，让我拍出了很多美丽的照片。总之，我非常满意这次购物体验，强烈推荐大家购买这款iPhone 14!"
旧***5,star5,最爱的银白色，拿在手里就不想放下，感觉全方面升级了 拍照体验极佳，平时就喜欢拍照录视频，手机很好很喜欢
j***g,star5,操作十分新鲜便捷，外观精致美观，材质用起来手感和质感相当不错，屏幕有很高的分辨率，流畅性很棒，电池比较耐用，色彩效果动态很好。
马***跳,star5,外形外观：这个手机大气上档次拍照效果：拍照非常清晰。晚上拍照也很不错待机时间：手机待机时间比以前的那个手机长的更多
-***-,star5,价格合适，是正品，反应速度快，一点都不卡，屏幕没坏点，通信信号正常，拍照效果好，待机时间也长，很喜欢
蜗***力,star5,手机不错618搞活动的时候购买的 优惠了1500用起来确实不错 拍照很清晰 颜值也不错 电池比之前也耐用很多 点个赞支持下
j***o,star5,身边很多人都在买紫色，确实紫色也很好看，但是想来想去还是喜欢黑色，真的是非常有高级感，超级好看，用了几天总体来说，体验感很不错，关键是618..价格很合适哈哈
蜜***甜,star5,非常不错的一款产品，质量非常的好，性价比非常高，用着方便，实用，非常喜欢，客服态度非常不错，总之很完美，满意，强烈的推荐
李***青,star5,京东发货送货速度超快，晚上下单，第二天早上就送到了，给京东和快递小哥点赞。苹果手机老用户，用习惯了，上一个苹果手机用坏了，赶紧再买一个。苹果14pro外观设计真漂亮，好用。
L***-,star5,送货速度超快，机子不错，银色加白色边框真的超级的高级，背面哑光雾面的手感简直perfect，戴手机壳或者裸机都很干净，爱了爱了。
j***k,star5,刚打开就看到精致做工细节满满，黑色大气上档次，质感爆满，让你觉得很给足面子，苹果系统的稳定性一直优秀！
x***7,star5,买数码产品还是相信京东自营，活动的时候还有优惠，手机非常流畅，手感好，像素高，快递快，服务好，用了一段时间才来评价(?ì _ í?)
小***牛,star5,买了好几次了，物流很快，机器速度很快，灵动岛很新颖，待机时间也很长，新手机可以用一天，包装也很简洁！好评！
j***s,star5,一开始喜欢的是银白的，去实体店看被这个金色吸引，和之前的金色不一样，又很好配壳子百搭又奶呼，真的是超爱啊。拍照带微距，可以拍我的小花花，超赞
c***h,star5,618年中大促之前下单，IOS16.4.1，前两天使用时续航不给力，掉电很快，夜间待机电量损耗4-5%，使用了三天后续航稳定了，夜间待机损耗1%，中度使用可以撑一天。
牛***1,star5,外形外观：轻薄好看屏幕音效：很好拍照效果：清晰运行速度：快速待机时间：长很不错，支持。主要是系统非常快，不卡机，不闪退。还是不吃的。
丫***虫,star5,物流速度快，基本不用等太多时间、这个京东一直做的很好。手机是全新的，拆开太完美了，真的棒。外形外观：好看，很适合我，耐看屏幕音效：屏幕分辨率很高拍照效果：好，照片细腻运行速度：很快，不卡顿待机时间：长，刷视频都能好久
q***戏,star5,女朋友买的这个手机，看周边年轻人用苹果比较多所以继续用回苹果了。这款手机拍照好像非常清晰，苹果比我想的要好很多，和以前用的不一样了
U***7,star5,续航能力:很好拍照效果:清晰 运行速度:畅快银色这颜	色真的太治愈啦，屏幕好大好爽，拍	照也特别清晰，o(▽)d也非常炫酷!很有分量，拿在手里沉甸甸的，触感很好，128G运行很快，用着不发烫，平时待机的话比之前用的64g长了很久。信号也挺稳定的
非***4,star5,外形外观：大气，比一般的手机沉屏幕音效：效果绝佳拍照效果：这是最满意的一点，超级好用运行速度：一点也不卡，反应快待机时间：一天用下来没有问题
j***w,star5,外观设计：iPhone 14pro的外观设计非常出色。它采用了流线型的金属边框和玻璃背板，给人一种高质感和精致感。手机的屏幕边框更窄，使得显示屏占比更高，提供了更为沉浸式的视觉体验。显示屏：14pro配备了令人印象深刻的6.7英寸OLED显示屏，色彩鲜艳且细节清晰。高分辨率和出色的对比度带来了极佳的视觉效果，无论是观看视频、浏览照片还是玩游戏，都能给你带来绝佳的视觉享受。性能表现：14ro搭载了最新的A15 Bionic芯片，性能非常强大。无论是多任务处理、运行复杂应用还是玩高画质游戏，都能够流畅运行。同时，配备的6GB RAM进一步提升了系统的响应速度和应用的加载速度。摄影能力：iPhone一直以来都在摄影领域表现出色，14pro也不例外。它搭载了卓越的三摄系统，包括主摄像头、超广角镜头和长焦镜头。无论是日常拍摄还是夜间拍摄，它都能够捕捉到细节丰富、色彩自然的照片和视频。此外，夜景模式的改进让低光环境下的拍摄效果更出色。电池续航：14Pro的电池续航表现令人满意。即使在高负荷使用下，它的电池寿命也能够让我放心使用一整天。同时，支持无线充电和快速充电功能，方便实用。
伍***景,star5,外形外观：时尚潮流，美观大气。拍照效果：还原细节，非常清晰。运行速度：非常流畅，纵享丝滑。待机时间：超长待机。屏幕音效：屏幕素质高，音质好！
小***7,star5,14 Pro具备出色的摄像头系统，拍摄出色的照片和视频，尤其在低光条件下表现出色。支持5G网络和卓越的电池寿命，卓越的连接性和使用时间。总的来说，苹果14 Pro是一款非常棒的手机，为我们提供了卓越的性能、精美的显示和出色的摄影能力。
****丝,star3,电池顶不住呀，其他都挺好
珠***1,star5,食會，暗紫色，512GB外形外观：颜色很正，很显高档，不锈钢边框手感非常好屏幕音效：高刷屏幕刷网页很跟手拍照效果：还原度很高，尤其是夜景，非常惊艳运行速度：非常快，满足日常一切所需待机时间：新机子待机没问题
j***u,star5,外形外观：很好看，屏幕音效：屏幕大，音效好，声音大拍照效果：拍照清晰好看运行速度：运行速度快，不卡顿，待机时间：待机时间长，很不错
1***2,star5,外形外观：很不错，大小也合适，适合使用屏幕音效：屏幕分辨率高，挺舒适拍照效果：像素很高，看着很不错运行速度：运行很流畅，不会卡
m***2,star5,618活动太给力了，活动期间换手机是最划算的，苹果老粉，手机流畅，可以用很久，手机拍照也很不错，前后摄像头都很不错，
聆***8,star5,外形外观：算是很好看了，看上去特别喜欢屏幕音效：放音乐感觉特别好听，低音炮的感觉拍照效果：冲着拍照买的，暂时还没有摸索透运行速度：很快待机时间：一天一充                     随手拍效果
方***3,star5,外形外观：外观很精致，手感稍微有点硌手，带上壳子就好了屏幕音效：屏幕显示很细腻，色彩艳丽，拍照效果：拍照很棒，很真实，广角，微距，人像都很棒运行速度：iOS系统很流畅，系统的易用性很棒，给老婆的生日礼物，老婆很喜欢，也很满意，
j***0,star5,外形外观：外观很漂亮，银色很好看，非常的喜欢拍照效果：拍照效果一流，可以用手机来拍照了待机时间：待机久，一天重度使用也足够了运行速度：高刷没得说，一如既往的流畅丝滑
h***0,star5,拍照清晰续航很好运行畅快 iPhone14Pro 外观颜值很高，手机手感一流，4800W像素效果提升非常明显。比以前的更清晰了，ios系统运行速度非常流畅，无卡顿感觉，玩游戏爽呆了，非常的丝滑流畅，续航也很顶，充满电用1整天没问题
丁***o,star5,外形外观：造型完美，大小合适屏幕音效：音效不夸张，屏幕效果出众拍照效果：夜拍效果提升很大，还防抖运行速度：超级流畅待机时间：能用一整天其他特色：灵动岛极具特色不错
胜***1,star5,手机收到了，相中好久了！昨天拍的今天就到了，物流超快，客服态度也很棒！拿回来只要信号好，网速可以的，打了3把王者，嘎嘎流畅！
F***M,star5,外形外观：很漂亮，很喜欢，暗夜紫yyds屏幕音效：听歌音质很好拍照效果：开了4800w像素，拍照一张70多m大，绝了运行速度：很流畅待机时间：用的频繁一天一充吧其他特色：刚刚旧手机用了三年多，电池不耐用了，赶上618果断入手了，第一次用苹果手机，还在研究当中～颜值没得说，很好看。
w***2,star5,这个苹果手机真的非常棒，使用体验很好，领导很喜欢，毕竟一分价钱一分货，京东快递也非常给力，很快就能送到！
丫***虫,star5,是手机是正品，各方面使用很好，拍照完美，物流速度也很快，一下子就到了，京东、值得信赖，一直都用京东购物，棒！外形外观：很好看，紫色完美屏幕音效：有高刷，游戏好，流畅拍照效果：拍照很细腻运行速度：运行快，不卡顿待机时间：待机时间长
小***啦,star5,外形外观：颜值超高，白色素雅，高冷感极强！屏幕音效：音效佳，屏幕质感好，清晰度高！拍照效果：拍照效果好，非常清晰，自动调节运行速度：8g运行内存，非常流畅
j***u,star5,外形外观：简洁大方，颜色好看。很薄。拍照效果：所有手机中拍视频最清晰的。运行速度：非常快，不卡。待机时间：超长待机。充电也快。
小***何,star5,"金色的绝美啊，顶不住了。质量非常好，与卖家描述的完全一致，非常满意, 真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，"
橙***1,star5,手机很好，触感很好，颜色好看，很耐看，这次抢的活动很优惠！外形外观：好看拍照效果：绝了运行速度：快屏幕音效：非常棒待机时间：长其他特色：不卡机
3***2,star5,手机性价比很高，虽然我不玩什么游戏，日常使用完全OK!续航一般使用能用2天。处理器很好，一直在京东购买。
j***w,star5,外形外观：很简约大气，符合我的审美观念屏幕音效：屏幕大小刚刚好，分辨率也很不错拍照效果：很清晰，像素不错运行速度：超级赞待机时间：电池感觉不太够，一天都用不到，感觉没有华为手机待机时间长
桃***1,star5,外形外观：黑色很漂亮屏幕音效：没得说，非常棒拍照效果：比之前的 11 好了不少运行速度：非常快，肉眼可见待机时间：一般般其他特色：总体来说非常满意
S***2,star5,灰常满意啊拍照效果：棒棒哒运行速度：快快滴屏幕音效：清清的外形外观：酷酷哒待机时间：长长的其他特色：除了好用还是好用苹果换苹果真太方便了，直接整机复制。太方便啦啦啦
1***2,star5,京东618活动价太给力了，比较了天猫和其他平台，最终选择了在京东下单，快递也是超快，手机的质量也好，现在家里添置物品首选京东。
枍***湦,star5,屏幕音效：触屏操作极为流畅，音效非常好外形外观：小巧精致，适合手小人群，可单手使用待机时间：没有特别耐用，但是日常使用1天多还是可以的拍照效果：清晰
h***0,star5,送货很快拍照清晰续航很好运行畅快 iPhone14Pro 外观颜值很高，手机手感一流，4800W像素效果提升非常明显。比以前的更清晰了，ios系统运行速度非常流畅，无卡顿感觉，玩游戏爽呆了，非常的丝滑流畅，续航也很顶，充满电用-天没问题。
j***g,star5,超级好！非常感谢！屏幕音效：好?，非常好拍照效果：真实运行速度：非常快待机时间：还可以吧，不算太长，也不短其他特色：都挺好啊，只要用过就知道
嘎***_,star5,我现在正在用苹果手机写评价外形外观：苹果特有风格，漂亮屏幕音效：音效清晰拍照效果：还没有拍，暂时没发现区别运行速度：流畅待机时间：很耐用
龙***學,star5,618买的，优惠券+A+会员，价格优惠了很多。外形外观：大小正好，握感舒服屏幕音效：阳光下亮度很高，非常清晰，扬声器够用拍照效果：pro4800，拍照效果很不错，特别是长焦方面，运行速度：高刷一用就回不去了，真流畅啊待机时间：中规中矩的电池，还可以其他特色：灵动岛确实比刘海屏好看点，实用性不错
陈***厚,star5,外形外观：很时尚手感很好质量很好屏幕音效：看着很舒适，声音质量也很好拍照效果：很清晰运行速度：一如既往的顺畅待机时间：不太行，玩不了多久就要充电其他特色：够大个，一手拿不过。总之好评啦
温***箭,star5,东西很好，值得购买哦！大家可以根据自己的需要来买的！质量很好，一般用几年不成问题，看上去很简单实用！性价比很高哈！值得推荐！
冰***韵,star5,外形外观：外观设计简单大气，直边的设计很好，虽然也有不足，但总体来说是很好的屏幕音效：屏幕显示很清楚，很流畅，高刷很不错的体验拍照效果：苹果的拍照一如既往的优秀运行速度：苹果系统运行起来很流畅，配上高刷的屏幕，完全ok待机时间：才使用，目前感觉还行其他特色：苹果系统，一款使用了就不想换的系统
j***k,star5,外形外观：颜色经典耐看！看起来很高端屏幕音效：屏幕颜色效果很好！音效十足拍照效果：拍照很好看，色彩丰富运行速度：很好，很快不卡顿
筱***冖,star5,手感很棒，质感很好，一直在京东购买电子产品，很满意的一次购物，京东送货也快，产品保证正品没问题，师傅送货上门，很喜欢
j***j,star5,618给老婆买的礼物，紫色256G，做工是没得说，工业艺术品的品质，紫色很好看，一体全贴合屏幕，人脸解锁很快，支持戴口罩解锁，这个很方便，听筒位置其设计很贴心，防尘，不用担心进灰尘，拍照功能很强大，超广角很广，夜间拍摄也很清晰，电池续航够我用一天，下班回家充一次，第二天续航一天，很好??！
V***9,star5,iPhone确实是比较耐用的，我的iPhone 8已经用了6年了，实在运转不了。终于要换新手机了，高效的生产力工具！618价格很合适！
u***6,star5,外形外观：手感超级好屏幕音效：还是喜欢苹果的屏幕 舒服 视觉也很好拍照效果：超级无敌 非常好 可以轻松驾驭各种场合运行速度：快快快～待机时间：24+小时其他特色：周边产品很好匹配.色彩还原效果也非常棒拍摄的照片天空树木效果非常好
1***1,star5,小巧精致，使用方便，颜值超高，质感好好屏幕音效：搭载双扬声器，全景听歌的时候靠近感觉像带了耳机一样拍照效果：拍照绝绝子最喜欢的就是三个摄像头。120赫兹速度很流畅 秒开锁屏 切换应用也非常快，待机时间：全天候显示屏待机时间长。
L***思,star5,外形外观：好看，没得说～比他好看的永远是下一代屏幕音效：挺好拍照效果：很好很清晰运行速度：全球最强芯片待机时间：拉垮～其他特色：非常棒～最早一直三星，爆破门后改果子了，用起来后就停不下来了～
幽***日,star5,安全下车咯，手感超级好，一直在纠结是pro还是pm，最终还是决定pro，手感一绝，续航的话对我来说是可以了，不怎么打游戏，还有高刷真的爽，然后这个黑色太好看啦，只是用的12绿色，看到同学用的黑色，我就觉得黑色超级好看，这次果断黑色，外观和做工就不用提了，一如既往的漂亮和精致，屏幕音效P3级别，超级清晰，颜色又正拍照效果，出片一如既往的稳又不花里胡哨，运行速度快，特别快，应用秒开，很不错！
可***花,star5,外形外观：时尚大方，很漂亮的暗紫色屏幕音效：还不错，拍照效果：还可以运行速度：新手机，目前来看还是很流畅的，待机时间：使用较少，目前可待机两天
j***鄫,star5,外形外观：简洁大方屏幕音效：屏幕很大拍照效果：像素好，拍照清晰运行速度：运行速度快待机时间：还可以其他特色：比别的手机重一些，运行速度很快。
e***7,star5,买的颜色很喜欢，拍照很好看，运行速度：很快不卡屏幕音效：特别好外形外观：好看紫色拍照效果：非常好?待机时间：很长，刚开始用应该不错
J***d,star5,东西真的很不错，质量很好，物有所值挺好的，目前没问题，后续追评. 很好的卖家。谢谢喽。我的同事们都很喜欢呢。下次再来哦真的很赞耶！产品真的很好，我表示很喜欢，赞??
取***了,star5,外形外观：大气上档次屏幕音效：高端大气上档次拍照效果：清晰运行速度：非常快待机时间：待机很久其他特色：漂亮很奈斯
任***1,star5,外形外观：紫紫我呀，真是太好看啦，暗紫色很低调。拍照效果：高清运行速度：非常快速屏幕音效：很不错待机时间：还是可以的
安***仔,star5,618买的，价格超级实惠，还有分期免息，太划算了，到手也是没有瑕疵，用起来高刷就是爽，外形外观：简约大方，拿起来刚好屏幕音效：很好拍照效果：清楚，非常好运行速度：快，不卡顿待机时间：可以，比我以前的手机好多了其他特色：发货快，优惠多，价格实惠，产品好
_***午,star5,外形外观：白色还是比较经典，好看，耐看拍照效果：拍照效果有很大的提升，很好，细致了运行速度：很快，而且不容易卡
l***8,star5,手机非常好，在平台买了好几次了，给家人基本都安排了一台，真的很划算，趁着618活动换新真的很好，现在再看价格都已经涨上去了，幸亏下手早，真滴很不错哦，希望这样的优惠活动可以多一点，美滋滋。
B***娜,star5,外观颜值很高，很漂亮，是我喜欢的款式，操作起来很方便，拍照很清晰，手机的容量很大，待机时间长，充电也很快，很适合每个年龄段使用，用起来反应特别快，我很喜欢
