https://item.jd.com/100035718848.html,"['海尔BCD-335WLHFD9DS9', '100035718848', '83.0kg', '中国大陆', '一级能效', '变频', '180.1-190cm', 'PCM彩涂板', '风冷', '60-65cm', '300-349L', '多门', '银灰系', '独立式', '电脑控温', '65.1-70cm']"
用户名,评分,评论
j***y,star5,外形外观：白色简洁大方，底部散热，不用预留多余的空间，很适合小户型；容量大小：很喜欢这种大容量，可以囤一星期的食物。制冷效果：制冷很快，喜欢珍品区的储存
n***e,star5,看中了法式结构，之前的冰箱是双开门的，看着容量大，其实装的不多，法式结构就好多了，而且这款超薄，正好能放进厨房内嵌，简直完美
施***妞,star5,颜值界的天花板，这也太好看了吧，很喜欢。冰箱底部自带轮子，刚买的滑轮可以退了，哈哈。上边柜门正好比我厨房台面高些，正好可以打开到他的最大程度，抽屉加了阻尼，可以自己关上
j***E,star5,尺寸非常合适，颜值巅峰，内部空间特别大，特别能装，使用起来很静音，一级能耗，保鲜效果特不错，一次非常满意的购物体验
采***红,star5,冰箱不错，空间很大，一家三口足够用了，大品牌值得信赖，有需要会推荐给朋友的呢外形外观：外环很漂亮制冷效果：制冷不错啊，效果好保鲜效果：保鲜不错蔬菜不会坏容量大小：容量410升很大了
j***o,star5,冰箱下单第二天就送到了！东西不错，性价比很高！我购买这款是不带温度显示的，系统默认，可通过手机下载app进行温度调整。外观质感还是不错的！
陈***丶,star5,冰箱下面冷冻绝对够大，能放好多大桶的八喜和许多冰淇淋了，中间可以放速冻食品，早餐和夜宵都能对付下。容量比原来三门多的将近翻倍，颜值家人也很喜欢，相比黑色而言
w***e,star5,相信品牌的力量，冰籍没看别的牌子，就从海尔里选。颜值不错，就是冷冻室有点小，没办法，零嵌的款式不多。推进冰箱柜里，门其实不能完全打开，但应该不影响使用。
j***s,star5,外形外观：非常好看，就是那种一眼看到就像摸一摸的感觉制冷效果：这个还没用，我们家在装修末期了，我选择了推迟一个多月送来，然后又隔了几天拆包装容量大小：容量很大，我妈说我人不多买那么大冰箱干什么。真是要夸一下物流送货到门，第一次给我打电话我真没时间就改了时间送，后来送还让师傅等了一会，那么热的天师傅一点也不烦躁，真是赞
j***y,star5,冰箱非常好，颜色漂亮，非常有质感，0嵌很节省空间，非常推荐外形外观：这个颜色非常漂亮有质感制冷效果：非常棒，冰箱功能按键用起来也很舒服保鲜效果：非常好，相信海尔品牌容量大小：非常够用
s***3,star5,这个冰箱满足了我们的需求，家里新添了人口，生怕到时候不够用，也很怕冰箱串味之类的，打开冰箱的一刻确实非常惊艳，面板灵感来源于水墨画，纹理行云流水，层次分明。而且还是底部前置散热，两侧不需要预留散热空间，这款冰箱的全空间保鲜功能非常好，湿区存放蔬菜水果，而且还能存放母乳，减少营养流失，冷冻还有智能恒温技术，食材营养不流失，搭配海尔的高端epp全空间超净技术，食材更健康。
阿***5,star5,白色真的美炸了，心心念念的冰箱到手了，颜值很高，外观超喜欢。跟我的的装修风格非常合适。设计非常合理，里面布局结构利用率很高，容量大小合适，静音功效特好，制冷效果非常好。
L***r,star5,发货很快，包装的很好，价格也特别实惠，制冷效果好，运营静音。因为位置限制，厂家还提供免费上门拆门安装服务，值得购买。很好看，制作工艺很精美，材质也很好！给个赞！
j***o,star5,外形外观：面板灰色，耐看耐脏，超薄制冷效果：非常好，温度稳定保鲜效果：水果放几天都没问题容量大小：501升足够用啦
安***也,star5,618急急忙忙做了功课选了501，没让我失望，很nice，颜色大气，质量也不错，家里人都很喜欢。外形外观：颜色好看容量大小：容量挺大的客服也超级好，当时吊顶没有让师傅拆，过后又帮我预约师傅上门拆箱，简直了，满分
聆***耳,star5,冰箱收到使用了，确实是性价比很高，全空间保鲜和EPP净味都有，已经塞得满满**的，打开冰箱还是没闻到什么异味，家里人都说这个冰箱看起来很高级，冷冻空间也很大，完全足够用。
j***j,star3,返豆是假的，10月份买的，返豆一直没到
Y***_,star5,法式冰箱，一直想拥有的法式冰箱，看了好久，都是灰色蓝色的，白色的都很小，正好赶上海尔新出的这款白色的法式冰箱，虽然比同样容量的其他冰箱贵一点，使用起来很方便顺手
许***o,star5,冰箱收到了，制冷效果很好，已经使用了一段时间了，使用起来很好，容量也很大，可以放很多东西，保鲜效果也很好，饮料放进去冰冰凉凉的。
M***Q,star5,灰色的面板配有浅色花纹，美观。501冰箱可以容纳很多东西，隔板可以调节的，制冷效果很好，特意选择这种法式开门，尺寸正好，空间大。
m***9,star5,外形外观：外观很漂亮，很高大上，就喜欢白色的，所以种草很久了，这次终于等到活动，价格很合适，快速下手；制冷效果：制冷效果很好，分区制冷很不错，保鲜效果：保鲜效果也很不错，分区储藏容量大小：460升的容量一家4口很充裕。
w***4,star5,外形外观：磨砂质感，蓝灰色很好看制冷效果：3区调温，app里就能看到冰箱温度，温度稳定容量大小：501升，水果蔬菜全都放进去了保鲜效果：海尔全空间保鲜，业内顶级
u***f,star5,超级喜欢这款冰箱，容量很大，上下分区保鲜冷冻都够用了，外观也特别大气上档次！据说还有净化功能，有专利技术！618活动特别给力！价格也便宜了好多！好评！
j***4,star5,容量很大抗菌保鲜效果带 epp 除菌功能，应该是最好的除菌效果海尔大品牌值得信赖，法式比十字容量更大点，有母婴分区，不会串味儿，外观是磨砂的手感，更有质感，高性价比，可入。
夏***呢,star5,外形外观：颜色好看，颜值很高制冷效果：分区保鲜功能方便实用容量大小：容量大，满足囤货需求很满意，朋友看了想换冰箱?
j***k,star5,声音静音，冰箱外观颜值简约大方。一级能耗非常省电，海尔冰箱老品牌，值得信赖，超薄前置散热不错，容量够大，非常满意
R***f,star5,特地试用了个把星期，才来评价的，我之前很看中全空间保鲜，确实是很给力，蔬菜水果还是很新鲜，大品牌质量还是值得信赖，EPP超净，杀菌净味还是蛮实用的，基本无异味，冷冻室也比较快，恒温也省电，空间足够三口之家个把星期不采购了，超薄也节省空间，性价比很高。
j***u,star5,外形外观：外观很不错，嵌入式，也很时尚很大起制冷效果：制冷也很好，但是还没开始用保鲜效果：听说保险很不错的，有多种保鲜模式可以选容量大小：容量应该是500多l的，足够用了
巧***V,star5,使用了几天来评价了，第一次使用海尔冰箱，果然品质优良，外观、尺寸、功能一切符合要求。外形外观：国潮墨韵外观非常有格调，不会留指纹，走进即感的呼吸灯非常有科技感。双轴铰链设计开门不受边墙影响，这个也很赞。制冷效果：制冷效果好，压缩机安静，底部前置散热的设计合理。保鲜效果：特意放了一把蔬菜几天后依然新鲜，买它就是冲着全空间保鲜和超净系统来的。容量大小：501L很能装，特别喜欢抽屉式的冷冻区，鸡鸭鹅可以整只放入，家乡寄来的生鲜再也不怕放不下了。
j***c,star5,已经用了一段时间，很好用，空间大，抽屉柜好拿取，冷藏区也够大，可以自己调节高度，很能放，保鲜效果好，冰箱运行时的声音也不大。
k***l,star5,海尔品质，一如既往精致。面板材质很亮眼，质感很好。冻室抽屉采用钢质滑轨，稳固，顺滑。内部功能分区周全，实用，保鲜区有海尔独到的HCS膜。前底部散热，对嵌入安置十分友好。噪声非常小。实用超值。
时***5,star5,用了一段时间才来评价，冰箱颜值很高，面板摸起来手感不错，也好清理，最满意的是静音效果非常好，APP控制也很方便
s***e,star5,这款海尔冰箱暗墨蓝色调显着高级还大气，全开抽屉式格局，拿取食物都很方便，容量 3.4个人用都没问题，冷藏区还自带了冷萃壶，这点很喜欢，我本来夏天很爱喝冰饮，有这个实现冰饮自由！！
弥***华,star5,这家店是京东自营的，配送速度很快，师傅也很好，因为冰箱坏了所以急用，买的第二天一早就送过来了，现在用着感觉很不错，空间大，制冷效果也挺好的。
j***f,star5,厨房空间太小，冰箱就放阳台了，质感很好，618购买，性价比很高，顶配杀菌，全空间保鲜，加零嵌为一身，外观也不错，不留指纹，值得购买。
j***B,star5,非常好看的颜色  外观精致     空间容量大   试了一下制冷效果也很好   噪音还特别小 不会觉得吵  值得推荐
B***a,star5,冰箱好看又好用，刚插上电，完全静音，尺寸也完美嵌入，门打开的幅度也够大，冲着造型和海尔的品牌及售后，选择了这款，非常喜欢?，没有让我失望，总之入手绝对不亏
x***6,star5,外观很大气，看着很上档次，法式抽屉太实用了，冷藏室门上的感应灯和冷冻抽屉里的灯，这些小设计太实用了。
辉***4,star5,第一次买海尔的电器，知道海尔是大品牌，在家电市场份额非常大，所以选了海尔这个品牌，感觉内部空间确实非常大，以前冰箱太小了，放一点东西就很拥挤，现在这个空间是以前的两倍，大容量挺好的，我家里买东西就方便储存了，目前用起来不错，不知道后期怎么样。
M***g,star3,还未使用，但是柜门开关时磕碰，等售后处理，品控还需要加强
零***九,star5,外形外观：白色干净整洁制冷效果：很快，一会就冻保鲜效果：保保鲜时间还行，还带净味系统容量大小：大小刚好放厨房
面***仁,star5,冰箱外观颜值很好，实际运行起来很安静，可以贴墙放节省空间，制冷也很优秀，省电。注意计算摆放空间距离的时候，房屋踢脚线也是有厚度的。贴一侧墙放的时候一侧门实际打开实际会受影响。放进入橱柜中间就不会有这种问题，请受房屋空间制约购买此款冰箱的小伙伴注意这点情况。
抗***反,star5,618活动期间订的冰箱终于到了，送货师傅很负责，送到家里。冰箱包装非常严实，没有一点磕碰，拆完包装就插上电了，感觉很用料很实在，外观设计也很好。使用时间有限，现在还不太清楚具体功能，不过海尔的品质一直在线，希望能用的省心。
j***k,star5,很不错，容量刚好，漂亮大气，制冷效果好，快，不太容易串味儿！！！分层使用很合适外形外观：漂亮大气制冷效果：好，快保鲜效果：保鲜时间久，保持新鲜度高容量大小：小家庭使用刚刚好
j***n,star5,精挑细选最终确定的海尔法式四门冰箱，实物非常满意，大小刚刚合适，外观挺气派的，里面的分区设计也比较合理，刚搬了新家，冷冻区还没有放很多东西，但看起来还是很能装的，放在厨房基本听不到声音，积攒多年的冰箱贴终于有容身之地了。说个小缺点，送货员没有主动拆箱放到位，我们以为需要另外约师傅上门安装，咨询客服后才知道冰箱没有安装服务，最后是自己搞定的。总体满意。
j***W,star5,海尔501冰箱真的跟家里面预留尺寸完美契合，也主要是得益于冰箱的超薄嵌入式尺寸、外加底部散热的各种特性加持。冰箱颜色也很质感，门和抽屉开关也十分顺畅。冰箱的做工也很好，打开冰箱试机，冷冻和冷藏速度也很快，而且海尔的EPP除菌净味技术真的好用，完全没有串味。
j***H,star5,使用了一段时间才来评价，冰箱质量非常好，保鲜效果也很好。容量大，白色的外观很大气简洁，大小正好保鲜效果：很棒容量大小：正合适外形外观：美观
欧***滋,star5,618看了好多型号，最终选择这个。制冷效果：太棒了外形外观：很棒，全搭配。保鲜效果：很好。容量大小：容量很大。
x***a,star5,冰箱外形外观：样子可以，两个大抽屉能装制冷效果：很不错保鲜效果：很不错容量大小：一家三口够用了
r***7,star5,挺简约的大冰箱，功能齐全，白色很适合我家比较暗的厨房。声音挺小的，不注意听可以忽略。底部有滚轮，很适合后期维护保养。零嵌解决了空间不足的问题，正好卡进位置，赞！
u***z,star5,冰箱收到货，款式很漂亮。家里是白色风格，就想选白色冰箱，一眼相中，果断下单。接上电源测试了一下制冷效果还挺好。
j***m,star5,这款冰箱外观看起来非常的高端大气上档次，是一个品味之选。集功能性与美观性、实用性于一身，价格合适，使用方便，服务专业，售后很好，值得购买！
j***1,star5,尺寸刚好外观也比较时尚制冷效果：制冷效果很好，温度调节比较准确保鲜效果：保鲜效果不错，不容易串味容量大小：容量大，终于不担心放不下东西了外形外观：外观很时尚美观，分区合理
e***g,star5,父母家的冰箱服役很多年了，还会结霜，趁着618大促给换台冰箱。首先大品牌海尔～空间大，颜值高，省电，还有净化技术，非常大气上档次，老人很满意～
C***a,star5,心心念念的冰箱，对比选了好久，喜欢这个颜色，冰箱门也能磁吸，终于可以贴上我爱的冰箱贴了，空间超级大，内部也能装，很喜欢，
可***Z,star5,外形外观：白色法式高端设计国际范十足，完美的契合了装修风格制冷效果：制冷效果很不错，水果蔬菜保持良好保鲜效果：水果蔬菜肉类放了很久像新买的一样强烈推荐保鲜容量大小：460升大体积大容量，一级能效很省电，符合家居完美生活需求
w***7,star5,冰箱的容量很大，可以放很多食物，不用担心空问不够。而且冰箱的门体设计很合理，可以方便地取放东西，不用弯腰或者伸手太深。冰箱的保鲜效果很好。食物可以保持新鲜和营养，不会有霜层或者异味。我可以放心地储存各种生鲜食材，不用担心变质或書失味，冰箱的温度控制很灵活，可以根据不同的食物需求，调节不同的温度区问。我可以把肉类放在冷冻室，水果蔬菜放在冷藏室，饮料零食放在变温抽屉，每种食物都有最适合的储藏环境。冰箱的节能性能很好，压缩机是变频的，可以根据冰箱内部的溫度变化，自动调节运行速度和功率。这样可以节台电力，总之这是一款性价比很高的多门冰箱。
西***牛,star5,选了很久的冰箱 只有这款在满足我1.8米高度的情况下有大空间 还有最新的保鲜技术 食材都很新鲜 也不串味 非常满意?
x***7,star5,质量很好，送货及时，安装简单，使用了一段时间，没有出现任何问题。冷藏室隔断多，可以分类摆放，空间很大，能满足需要。冷冻室也很好，能存放很多食物。外观简单、大方，有品位。
小***号,star5,冰箱非常高端大气上档次，制冷效果非常好，非常安静。送货师傅专业负责，预约的时间晚上9点多还是送到了，一直帮忙摆到位置才走！！真的感谢！！
j***x,star5,货收到了，推进了柜子里，很完美，本来怕尺寸做的有出入，很好的完美的进出了。也是我喜欢的类型。买冰箱首选海尔，用的放心。
叶***8,star3,整体外观不错，抽屉式好用，但是右门明显吸力不够，害怕关不严
大***虫,star5,外观大气上档次。内部容量也大。测量了一下尺寸，很精准，门也完全可以达到零嵌 不留边距开门的效果（当然还是要留一点空间才能有下手的地方把冰箱拿出来）
小***暖,star5,海尔冰箱果真不错，样子漂亮，尺寸合适，声音很小，制冷保鲜效果也不错，冷藏冷冻空间都很大，用了快一个月了，总体很满意！！！
茂***e,star5,上一个冰箱也是海尔，这次又购买海尔，海尔大品牌值得信赖，奶白色非常好看，制冷效果杠杠的，保鲜效果也非常好，还可以用手机控制，虽然期间有点小插曲，但都完美的解决了，后面会继续评论
u***h,star5,冰箱收到啦，外观很赞，是我喜欢的颜色。容量大，足够一周储备了。大抽屉更是我的最爱呀，娃的水饺有着落了。全空间EPP保鲜，以后蔬果再也不用担心啦。
I***i,star5,冰箱整体都很好，用了一段时间，几乎没有噪音，空间大，得放东西，温度调节也方便，操作简单，小冰箱换成现在这个真是感觉大了很多，尺寸量好，可以镶嵌到预留位置，前面散热，价格也合适，性价比高
c***y,star5,完美解决了小空间的问题，比以前的老冰箱多了一倍的空间。物流也很辛苦，六楼没有电梯，全靠两个人人力搬运。
阡***安,star5,618活动买的冰箱，很划算，全空间保鲜，分了好几个区，喜欢这种法式的，下面抽屉的挺实用，分层也很合理，跟屋内尺寸也比较合适，
j***h,star5,终于换成大冰箱了感觉生活都变容易了。不用绞尽脑汁安排冰箱怎么塞了。法式开门用起来很方便。颜色也比较大气。目前为止十分满意。
f***i,star5,外形外观：外观非常的大气，颜色也耐脏耐看。制冷效果：制冷效果非常好，我们很满意。保鲜效果：全空间保鲜的，当时和460的选择了很久。最后选择了这款带全空间保鲜的。容量大小：466升也够用。
f***i,star5,嵌入式的尺寸刚刚好。保鲜效果：保鲜效果很棒，已经使用了好几天了，果蔬都很新鲜。容量大小：460升的容量刚好。一家使用起来正好足够。制冷效果：这种效果很棒很凉，夏天可以放很多东西。外形外观：外观白色的，非常大气美观。
N***W,star5,海尔冰箱是我家的首选！它不仅外观时尚，还具有出色的冷冻和保鲜功能。冰箱内部空间敞，可以轻松容纳各种食物和饮料。同时，它的节能性能也非常出色，能够帮助我们降低电成本。操作简单方便，智能化的控制面板让我轻松调整温度和模式。总之，海尔冰箱是款性能卓越、实用可靠的家电产品，我强烈推荐给大家！
j***x,star5,外形外观：外观漂亮大气黑色特别好看非常喜欢制冷效果：制冷效果也不错 特别喜欢 非常好保鲜效果：保鲜效果有专利这个没得说很厉害 非常强容量大小：容量也挺大的 设立的很合理非常好
晃***点,star5,618抢的冰箱，配送迅速，冰箱外观大气上档次，空间大容量大，两侧门稍有不齐，售后也及时给出了处理办法，点赞。
m***9,star5,海尔冰箱在外观设计上具有高端大气上档次的感觉，控制面板数据的显示很有科技感。在功能上，海尔冰箱具有珠光玻璃面板，制冷速度快且效果好。变温室可以在-9℃到10℃之间自行调节，保鲜、冷冻、软冷冻、存干货等功能也样样都可以。此外，海尔冰箱还支持无线网络远程控制，使用手机操作非常方便。在节能和静音方面也有出色的表现，基本上没有声音。在内部设计上，照明灯的亮度好，色调好，而且具有除味功能。同时，冰箱采用风冷无霜变频技术，制冷快，噪音小，节能省电。
盲***士,star5,618囤货的，柜子是按冰箱尺寸设计的，整体非常不错面板是我喜欢的样子，没有选白色因为怕家里出现五彩缤纷的白，非常喜欢
j***k,star5,说起冰箱，海尔就是首选，品牌历史悠久，技术过硬，产品外形硬朗，客户口碑也很好，这次选的法式四门，容量大，开关也很顺滑，适合小家庭使用
j***6,star5,现在网上买冰箱是一如既往的支持海尔，原件那个海尔用了16年了，新冰箱静置24小时开机，声音很小，制冷很快，外观很漂亮
j***7,star5,冰箱很漂亮，面板质感很好，还有小灯带。背面电线是在靠上位置。做零嵌的同学可以考虑在冰箱上面的格子预留插座。
t***e,star5,海尔品牌的双开门冰箱令人惊艳！外观简洁大气，不仅美观耐看，而且采用高品质材料制作，给人一种高档感。冰箱内部空间设计合理，多层分隔架可以轻松存放各种食材，易于整理和取用。保鲜性能方面，冰箱配备了先进的保鲜技术，食物能够保持新鲜和营养更久时间。此外，冷藏区和冷冻区有独立控温功能，能够自由调节不同食材的保存温度，非常贴心。操作简便，清洁方便，省时省力。海尔双开门冰箱的品质可靠，为家庭带来了便捷和舒适！
D***i,star5,到货后师傅就帮我试了一次，非常满意，暂时不用先不通电，尺寸也是严丝合缝，非常完美！大促活动期间购买价格美丽，看中的小伙伴快下单哦！
j***j,star5,容量大小：阔气颜色白色哑光漂亮，内部布局合理，无噪音，保鲜区多功能保鲜，冷冻区两个大抽屉，方便整区整放，有冻饺子的大盘子 ，太喜欢了 。
j***3,star5,冰箱外观非常大气，之前的冰箱用了十年了，该换了，东西也放不下，买个大的非常好，人走近会有呼吸灯，非常喜欢，哈哈
j***x,star5,颜色比较显贵，颜色百搭，容量也很够，选了很久最后选择买了这一款，比较看重售后，听说海尔的售后还不错。
樱***3,star5,支持家乡品牌，没怎么看就选了就是相信海尔，大小正适合家里使用，颜色也好看，家里很喜欢。以后有需要还会再来的，很静音，颜值也很高很满意！！！
j***2,star5,我家里这个冰箱位置只有72公分，又不想选小的冰箱，这个冰箱放在我家简直绝绝子。零嵌入，非常好，质量很好，看上去就给人一种高级感，价格也合适。
j***p,star5,外形外观：磨砂材质，非常有质感，非常的大气制冷效果：杠杠的保鲜效果：全空间保鲜技术，蔬菜放进去，能够一直保持水分，这个功能很强大，很实用容量大小：一家四口，466升容量，完全足够，点赞?
j***R,star5,冰箱非常好，白色冰箱很好看，海尔质量一直很好，大品牌，售后服务也好，一如既往的好，容量大，制冷好，非常满意！放家里刚刚好，太合适了！非常漂亮，简洁大方！
j***z,star5,外形外观：漂亮大气，到家瞬间装饰上各种贴贴贴容量大小：超级能装，买了好多东西才装满保鲜效果：非常好制冷效果：时间超级短就速冻上了，很赞
J***1,star5,外形外观：时尚大气，app智能控制，使用方便。容量大小：小尺寸，大空间，前置散热，零嵌入，跟预留的位置完美契合。制冷效果：保鲜和制冷效果都很好。
j***b,star5,终于买到自己喜欢的白色法式冰箱啦，颜值非常高，冰箱声音很小，容量很大，可以智能控制，才用一天，抗菌保鲜的效果还没看出来，等使用的时间再长一点，再来追评
崔***虎,star5,老房子新装修，按照预留的尺寸选的冰箱。趁着618活动时候挑的。送货时间，京东送货前会联系，我是根据装修情况延迟送货一个月，京东客服很快就处理好了，赞一个。送货的时候，送货师傅也很好，根据时间按时送货，进门拆箱就位，都比较顺畅。冰箱大小和预留空间正好合适，颜色白色和很搭，这都比较满意。因为还没启用，暂时只能拍拍整体情况，还是不错的。
j***M,star5,大品牌，品质有保障，这次冰箱坏了，果断又选择海尔，买的这款冰箱，容量很大，可以放很多的东西，冷藏冷冻空间都很大，价格也不贵，性价比简直了
刘***师,star5,用了三年的西门子居然刚过保就坏了，冰箱越修越坏，所以买了海尔的，事实证明，海尔的高度设计更合理，女性拿最上层毫无压力，送货也很快，好评！
发***发,star5,冰箱非常不错，0嵌保险净味齐全，容量也大。新房快集齐全套海尔家电了，冰箱，洗衣机，热水器，消毒柜，以后都能一个app控制，舒服。
l***q,star5,非常好颜值高hao?hao?hao?hao?hao外形外观：外观好看大气没得说制冷效果：制冷非常快保鲜效果：保鲜特别好好好好好好容量大小：容量还可以一家够用的非常的好好好好
