https://item.jd.com/6223237.html,"['京鲜生山竹', '6223237', '1.6kg', '泰国', '油竹', '冷藏', '5A', '泰国']"
用户名,评分,评论
颜***3,star5,特别特别棒，货比三家才买的，客服回答问题很有耐心，也很详细，有需要还会再来的，一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，物有所值啊，果断好评！
d***x,star5,非常好吃的一款山竹，并且京东自营旗舰店的送货也特别的快，而且京东自营旗舰店的服务还特别的好，未来还会继续支持京东自营旗舰店
j***a,star5,山竹很好吃山竹很好吃山竹很好。收到的时候有小半坏了，客服服务很好直接给我退了一半的钱。当时买的时候也不贵，有活动十几块钱一斤。京东的生鲜服务还是很放心的，放心冲。
祭***春,star5,价格很实惠，性价比很高，算是平价好物，会回购的上次买到这么好用的东西还是上次！每一次都很满意，这次选的宝贝更加满意，以后还会一如既往地买下去
s***城,star5,第一次在京东购买山竹，凭着试一下手气，收到的时候是冷链配送到家，足斤足两。部分很新鲜，个头也挺大的。果子打开白白嫩嫩滑滑的，水分充足吃起来口感非常不错，真心好吃甘甜多汁。有少量的是坏果子，找了京东售后客服，非常省心的赔付了。
张***毅,star5,还是那么的优秀，第二天上午就送到，买的最大的6A个头大也新鲜配送也是冷链运输保证了水果的新鲜没发现有坏果，总体非常满意足不出户吃放心货还得是京东自营！
能***价,star5,京东购买山竹价格非常的实惠，而且质量方面也有所保证。万一到了的删除有质量问题，还可以通过进一步客服进行服务，品质方面非常的令人放心，京东的神仙从未让人失望过。推荐购买。
j***r,star5,山竹的品质非常好，新鲜度完全符合我的期待。外皮光滑颜色鲜艳。果肉非常饱满，晶莹剔透，很好吃。搞活动买的7.5kg的3A果，孩子说很好吃，已经买的第二次了，性价比非常高。强烈推荐购买
j***p,star5,山竹收到了，达到了预期值，值得一个好评。货真价实，良心卖家，客服很贴心，物流速度也很满意，整个交易过程很顺利，很开心的一次购物体验。好东西大家分享，己经推荐给身边的朋友，希望以后店家有更多更好的产品。赞，发货迅速，态度很好，很满意！很好很好！网上购物这么激烈，没想到店家的服务这么好，商品质量好而价低廉。很热情的卖家，下次还来希望下次还有机会合作祝你生意兴隆质量非常好，出乎我的意料包装非常仔细，下次有机会再找你，店家人蛮好的，东东很不错，淘到心仪的宝贝是一件让人很开心的事，比心
d***_,star5,整体还是很新鲜了，分量也足，坏的一些客服也补偿了。京东买东西还是放心的，家里大大小小吃的用的还可以电器手机都选择在京东购买，售后服务真的不错。
瀚***云,star5,京东买的山竹，超级好哦，物美价廉，一次买了两箱，没有一个坏果，没几天就吃完了，超级好吃，酸酸甜甜，包装很好，物流也很快，赞赞赞
P***1,star5,给闺蜜家买哒山竹 很新鲜 个儿头儿也可以 她老公和孩纸都爱吃 据说没有去坏果儿 而且口感也还可以 最主要发货很快 而且包裹哒很严实
j***e,star5,这次买的山竹非常新鲜，而且个头均匀一个坏果都没有，果子打开白嫩嫩的，水分充足吃起来味道好极了，内厚多汁，清甜爽口，回味无穷
好***中,star5,送过来的时候非常新鲜 ，个大饱满，秒杀很多线下水果店。无论是质量还是口味都非常的满意。一直在京东买水果，价廉物美，也方便售后
王***时,star5,山竹非常好，山竹个头不是很大，但是出肉率很高，吃起来很新鲜。而且有很多汁水。清热解渴。包装非常完美，运输非常及时快速。买来可以吃好久
j***n,star5,满满一箱 果子也挺大的 口感也不错 包装冰镇非常好 主要是小哥送货真的快 前一晚下单第二天上午就送到了 还是喜欢在京东上买水果 品质保障 赶上活动是真划算
波***e,star3,果子很小，坏果比例比较高
y***g,star5,老顾客了，一直在回购的品牌，物流很快，包装很好，快递员服务很一流，老人在家每次都送货上门！产品一如既往的好，值得信赖，五星推荐！！
5***麻,star5,又到山竹的季节了 吃完都忘记评价了 首先要给客服跟快递小哥点个赞，每次态度都好?山竹真的是水果中的王者 吃再多都不觉得腻 性价比超高 明年继续哈
纺***1,star5,经常买的京东生鲜。一直很满意。包装好，物流快，价格实惠，比超市便宜多了是正品，信赖商家，宝贝质感很好，价格也适中，无限回购！
飞***材,star5,个头很大，质量很好，没有烂果，家人都很喜欢吃。价格也很实惠，比外面水果店便宜了不少，包装得也很好，继续支持京东自营商品！好评
偷***人,star5,京东快递送货上门，包装非常好，小哥态度也很好。很棒速度很快 ！！山竹大部分很新鲜，价格很棒，山竹自由了，非常好吃，性价比很高
j***Q,star5,京东上卖水果很放心   水果新鲜   物流快   泰国山竹 进口山竹 5A级大果 单果80-110g 很不错   几乎没有坏果～   一次不错的购物体验   好评～
V***n,star5,还不错，！。。京东物流速度很快。。。吃起来感觉也还行，看着个头也挺大的。。。。。大概有十二个。。。。。。下次看情况回购。。。好评。。。。
随***1,star5,回购了很多次了，质量品质都非常好，果也非常大，吃起来口感特别好，几乎没有坏果，送货速度也非常快，家人也非常喜欢吃，会一直回购的，
j***o,star5,原框山竹，15斤，3a的，京东快递送上门啦，一整箱，非常新鲜，还是冰冰的，自己用秤称过，分量很足，没有缺斤少两，比在外面买的便宜，实惠！
1***8,star5,非常愉快的一次购物，物有所值，做活动的时候买的7.5KG的，质量很好，很新鲜，也没有什么磕碰，基本上没有坏果，很好吃酸酸甜甜的。而且送货上门，非常方便
j***n,star5,这次山竹比上次差一些，大个的，京东商城购物优惠多多，希望多一些促销活动，生活中的大部分东西都是京东商城购买的，商品价格优惠质量保证，京东快递服务态度很好，速度速度很快，快过季了。
j***e,star5,每个都是非常新鲜的，外皮红红的，叶子绿绿的，又酸又甜，太爽口了了，在网上买的山竹还挺不错的，一开始还怕会收到不好的山竹收到时包装挺好的，打开看里面冰袋已经化水了，天气热，能保持果子的新鲜挺不错了，发货到收货两天，挺快的，山竹味道好，甜中有点点酸，非常可口，谁知道特别好吃
f***s,star5,很好，下单以后第三天就送到了很快，量也很大7.5斤也很便宜，而且果没有几个坏的，偶尔有一两个是坏的，送来的的时候冰袋盖着还是凉的可以直接吃
j***9,star5,京东商城购物省心省钱，活动多价格优惠，服务贴心周到，购物首选京东商城，这款山竹非常好，个头大，回购很多次，自营品质值得信赖，会一如既往的支持京东，全五星好评！
u***9,star5,物流真的很快，第二天就送到家门口了，真的非常方便，送来的时候还挺新鲜的，很好吃，而且价格还不贵，拼单买很划算，下次还来买。
j***n,star5,物流特别快，隔天就收到了，每个果子都很饱满，打开的话都是非常紧密的果肉。口感的话：酸甜口的，不会那么甜腻，有些许牛奶的清香。
u***6,star5,这款产品质量好，性价比高，非常实用，试用效果棒极了！卖家服务态度好，发货速度快，包装细致仔细，值得信赖。推荐大家一起购买。
影***月,star5,嘻嘻.…收到啦，很不错，非常喜欢，值得购买，嘻嘻……当时买的时候还在犹豫价格，买来之后一点都不后悔，而且物流还快，可以入手宝贝和介绍的一样，质感很好，功能强大，用了感觉不错，看起来还不错，包装的很仔细，价格也非常公道，还会继续买买买！世宝贝收到，一如既往的好，包装很到位，质量还不错，很喜欢，大品牌值得信赖
z***u,star5,刚打开箱子就有浓浓的山竹味扑鼻而来，果子相当新鲜，内厚多汁，清甜爽口，回味无穷，清香甘甜，又嫩又滑，能感受到那种天然的新鲜的水份，果肉晶莹剔透。每瓣肉汁水都很丰富，整颗山竹就连看着都觉得饱满，果肉雪白漂亮口感很不错。
s***r,star5,又到了吃山竹的时候了，每年都会买几筐。总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐品质一级棒，包装也不错，物流很快，而且价格合理，很实惠，很喜欢一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，好评！
s***i,star5,山竹真的好好，皮皮也薄而且看起来就很有食欲感。小孩子多吃也挺好的，我和我家人都特别喜欢，满意还想吃，欲罢不能啊。而旦很甜，正是我想要的。甜甜，很满意的一次购物山竹一颗颗圆圆，真的敲可爱是要买自营滴
G***3,star5,这款山竹还不错，冷链运输过来整体比较新鲜，剥开山竹内部很好，鲜嫩。价格也划算，比实体店好多了。京东自营购买质量有保证，包装完好。
j***m,star3,发货挺快的，买给家人的，感觉有点熟透了……
喵***大,star5,收到就打开了，吃了一下还是不错的啊！买了好几次了，质量保证的，配送非常方便，当天就能收到?还会回头再买的，加油加油?点赞
喵***大,star5,第一次买生鲜食品在京东，非常惊喜！配送非常快的，而且拿到手非常非常新鲜。配置也很不错的，一口鲜美的味道?。太棒了??
s***j,star5,还不错，粒大饱满，多吃点总是好的，润心润肺，杠杠的，鲜嫩多汁，很不错，可以，值得再买，很好，天气干燥潮湿，润点，嗯，很好的。
H***d,star5,没有想象中6A有多大，叶片有点黄，这个价格仍然很划算。经济、便宜、质量非常好，与卖方描述的完全一样。非常满意，完全出乎意料，超划算，划算，购物比实体店便宜多了，非常满意网上购物
j***7,star5,给父母买的山竹，很好吃，个头挺大的，没有坏的，味道也很甜美，京东快递送货快，第二天就送到了。京东大平台买着放心，以后还会继续购买。
西***雅,star5,挺好的，品质不错，坏的少，味道好，量多，每个都软软的，吃到后面有点硬了，送货也很快，买了好几次，非常非常满意，家人都挺喜欢
Z***W,star5,味道特别好！家人很满意，给岳母大人也买了一份两家人都特别开心。感谢京东每次送货都特别快，而且非常新鲜，价格也和超市差不多。
Z***W,star5,感谢京东的送货。我给妈妈买了一份给岳母大人买了一份，两家人都很开心。价格也和菜市场差不多但是更加新鲜也不会被宰。辛苦小哥大热天的送货了
u***a,star5,京东自营的水果基本上每次买都还是可以的，这次先打开看几个都是肉挺白的，而且物流速度很快，还送货上门，态度也很好，还会回购
F***2,star5,?质量很好，买的很合我心意?，棒棒哒！?需要的亲们可以放心购买价格实惠，质量杠杠的，非常好的一次购物，下次还来.价格合适，质量也很好！
C***7,star5,完美，产品很惊艳，性价比合适，希望用的长久！很快就到了，全新正品?，包装很仔细，没有问题是正品，和实体店一样，价格还优惠，果断转粉完美，产品很惊艳，性价比合适，希望用的长久！很快就到了，全新正品?，包装很仔细，没有问题是正品，和实体店一样，价格还优惠，果断转粉
o***7,star5,发货速度很快，东西包装的很好，价格优惠，我很满意?，还会回购发货很快，包装的很好，价格也特别实惠，值得购买很新鲜，实现山竹自由了
美***了,star5,个头很大很均匀，我这一筐没有小的，挺新鲜的，夜里下单中午就到了，检查清洗过了，没有坏果。真不错，第一次购买就很nice~。
j***e,star5,最近家里来客人 送了好几个大榴莲 老人孩子都很喜欢吃 怕吃多了上火 赶紧给家人备上去火极品山竹 在京东的购买 是最有保障的
j***7,star5,给父母买的山竹，很好吃，个头挺大的，没有坏的，味道也很甜美，京东快递送货快，第二天就送到了。一次不错的购物体验，以后还会继续购买。
j***u,star5,一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，好评！味道不错，也很好吃，小孩子很喜欢吃，味道也很好
孙***8,star5,酷暑高温天还想吃生鲜冷链的娇贵水果，选择京东次日达显然是明智之举，山竹来自万里迢迢尚能保持如此新鲜的品质口感，令人惊喜和信服，好?！不说了，看图吧，物有所值，感恩致谢！?
j***1,star5,喜欢的水果品类，新鲜、水份足，肉肉软糯爽口。只选自营水果，送货及时可靠，送到门口太重要了。包装一般，外包是纸箱来的，好在没破损果。
l***6,star5,整体还可以，果肉比较饱满，味道确实没得说，价格上也很不错，总之性价比非常高，现在也是山竹的季节，大家吃起来吧，不过就是有3个外壳非常硬，必须上工具才能打开
山***月,star5,山竹挺好吃的，一次买了两箱，价格方面是比较划算的，但是讲实话新鲜程度跟店里比起来是有点差距的，拿回来吃好多都快成一泡水了，也不耐放，希望下次新鲜点
J***7,star3,小到无敌。坏果是十个里2 3个
j***0,star5,送人的，反馈挺不错挺新鲜的，口感不错，无坏果。价格适中，挺满意的。京东物流很快，次日达，就是等采购等了几天。多次购买啦。
k***D,star5,京东购物快，实惠，质保期又新鲜，现在家里大部分的日用品都是在京东购买，碰上活动期囤一些价格更是美丽，也不用担心售后问题，自营的售后那是一流的，商品的日期一般比超市的还要新鲜，快递小哥第一时间送货上门。
大***子,star5,这个山竹还比较新鲜，没有坏果。味道还不错，但是山竹实在是价格太贵了，没有水果店的便宜，如果?坏果售后会及时处理，和荔枝一起买的
h***6,star5,吃着不错，个头不大，价格有点贵，希望能更便宜。多吃不同样的水果，挺好。营养丰富，补充各种维生素。当季水果，好吃！！会回购
空***佬,star5,上次一个不是京东自营店里买了一箱的山竹，结果没有一个是好的，所以，再也不敢相信那些不是自营的了。这次在京东超市里买，一是速度快，二是但愿有保障。打开一个还行。
南***拉,star5,79.9元3斤，价格非常划算，比实体店便宜多了。全程冷链运输，包装很好，到了冰袋还没有化。无坏果，唯一缺点就是是大厚皮，如果不是特价还是购买3A就可以了。皮薄呀！
j***r,star5,原装进口的山竹，3a规格的，整体上感觉还是不错的，京东自营大平台值得信赖，有个别几个有问题的，不过鉴于那么大一筐，也可以接受
c***0,star5,看到有活动就买了原框的，5A大果，不过实物不算大。刚收到的时候很新鲜，味道不错。不过原框数量还是有点多的，没有及时吃完，到后面就坏了好多，扔了大概有三分之一吧。
j***m,star5,连续第二次购买了 懒得拍了 所以用了之前的图片 这次的质量没有上次好 有一些坏了 但胜在京东售后给力 买东西真的是可以完全放心
开***了,star5,京东从来就没有失望过，无论是质量还是物流都是行业领先水平，真是多快好省的电商，这次买了好久才来评价都忘了，现在应该多搞些活动
j***v,star5,买的3A原框的，夏天放冰箱里 吃着简直太爽了，去年买的时候更便宜一些。今年的山竹有几个坏的但总体来说还是不错的，京东售后以后保证买的放心
j***r,star5,大山竹可真挺大，新鲜度还可以吧，收到的时候有几个很硬，赶紧把发硬的先吃了，还可以吧 ，京东的快递真是没话说，太方便了，品质还可以滴
o***c,star5,质量不错，水分充足香甜，没有坏果～肉厚皮薄，迫不及待就吃了一个 ，果肉白白嫩嫩的，味道，很久没吃过这么好吃的山竹了 水分充足 香甜，皮薄肉大，肉质细嫩，吃起来口感顺滑又香甜。
湉***爸,star5,今年夏天在京东上买了两波山竹了，品质还是可以的。基本上90%左右的比率开出来都是雪白雪白的果肉，吃起来酸甜可口，有活动的话还好继续回购。
w***呀,star5,个头挺大 比外面买的便宜一些 有坏果 京东已经理赔了 有合适的还会继续买的 家人也很喜欢吃 价格合适 还会继续买的 希望再便宜一些
狗***4,star5,家里公司全部用的东西几乎都是在京东的，买了那么多东西几乎都挺好的，唯独山竹最不好，后面买了这一箱没有一个好的，但是售后很快就解决了。
l***8,star5,一直比较喜欢吃山竹，酸酸甜甜的，就是壳比较占分量，但还是喜欢?收货后包装完整，保温箱加冰袋运输，山竹也比较新鲜，当天每人试吃了五个
用***_,star5,这个水果还是挺好吃的，买的多的话，价格很划算，所以还是挺不错的产品，我给家里人买的，家里人吃了之后觉得挺好的，挺好的，水果营养又健康。
K***t,star5,爱生活爱点评经常在网上买东西，但是第一次在网上买山竹还可以吧，没有榴莲和椰子的品控那么好三分之二都是好的，还可以物流速度比较快，包装还可以
武***6,star5,酸酸甜甜就是比较不错，寄过来的时候都是硬邦邦的，需要放几天才可以吃，整体还是比较新鲜的，价格不是很便宜，不过还是比超市更划算一点
j***j,star5,京鲜生 泰国山竹 进口山竹 5A级大果 净重2.5kg 单果80-110g，个头够大，果皮稍厚，果肉饱满，口感细腻丝滑，口味甜酸。
g***g,star4,快递很快，昨天下单今天收货，果不算大果，是中等身材，新鲜度不够该卖家的贵味荔枝新鲜，就是买了他家荔枝觉得新鲜不错才决定买这店家的山竹。感觉没有多大惊喜。还算好吧，果的核不多，一个果最多两个核，这点比较满意。
a***s,star5,预售的山竹终于到货了，很新鲜，箱里有冰袋，果子还是湿润的，果子稍徽小点，其他还是不错的，没有铁山竹，也没有坏果，可以吃好久吃不完，如果有还会再次回购，相信京东品质，希望以后能有更多的实惠水果
锅***琳,star5,分量够，整整一箱，有几个不太好的，数量不太多。个头中等骗小，皮是真的一如既往的厚。不过，这个价格真是划算了，很值得。送货超快，早上订，下午到！牛大啦！
D***B,star4,5A级山竹7.5公斤249，比超市便宜些，重量足够，没有缺斤少两，品质凑合，感觉比3A没有好很多，自营生鲜配送也很快。
j***f,star5,这是第三次购买了，真的很大，很漂亮，甜度刚刚好，买给怀孕的媳妇吃的，上次买了两件，这次又买两件，京东生鲜超市真的的给我呢带了了方便。在实体店买的要贵一半。
浪***5,star5,赶上搞活动，京东自营店的水果真便宜。比在超市买便宜多了。京东物流第二天到，真的很方便。山竹个头大小一样。很新鲜。没有发现坏果。
暗***号,star5,包装很好，保护的不错。每一个都很新鲜，味道很甜，没有坏果，吃完了还想吃。就是个头有点小，都是很小个的。比我之前买的要小很多。
S***6,star5,每年都在京东订购山竹，非常好吃，个头符合5A标准，果肉也非常好吃，酸甜可口，打算继续买几箱寄给朋友，亲测可以放心下单啦哈哈
l***e,star5,这个山竹是真好啊，很新鲜，果肉很白很嫩很甜。第一次买了15斤来吃，吃了五六天都很新鲜。京东的生鲜冷链真的是做的太好了，下次我还要买来吃！
天***海,star5,大小负荷介绍，80-100克，总量负荷介绍，5公斤，诚信没有问题。泡沫盒包装，加两个冰袋。送货及时，第二天上午送货上门，售后很负责。
k***e,star5,1.果肉饱满2.没有坏果，个头非常均匀，没有参差不齐3.味道很棒，酸酸甜甜，非常好吃4.非常新鲜，一看就是空运货，航空箱都很棒5.货运速度就不用说了，坚持京东购物
j***e,star5,山竹的个头确实很大，打开后里面的肉瓣也挺大，口味酸甜可口，个别的打开之后坏的，挺可惜，总体这次是非常满意的一次购买。京东物流快，很快，超级快。
B***d,star5,第二次买这山竹了，白白的蒜瓣肉，白白的小猫爪，水果量足，是由原框装来的，保鲜做的非常到位，到家都放在冰箱里了，凉爽歪歪了
泽***7,star5,山竹送货很快。第二天一早就收到了。?。很新鲜。个个都很水灵。剥开里面的果肉也很好吃。很甜。口感很棒。 1kg装。很不错。618活动。价格合理
s***9,star5,这次自己买了一些吃吃，口感很好吃，价格比线下便宜许多啊，线下很贵的，而且这个口感很好吃，全程冷链物流，不错，分享一下，可以推荐！
j***5,star5,之前在京东生鲜就买过山竹了，服务很好，少的都给退钱了，这次又买了，也逐个数了一下，刚好够数，只有1个坏果，无所谓了，其他的都挺好，会继续回购的
j***d,star5,这是今年笫一次买这款山竹，因为往年吃着还不错。新鲜度还行，包装也到位，买的是原箱，外观上没发现腐烂变质情况，希望仍然是酸酸甜甜的口味。
殊***归,star5,非常满意的一次购物体验，买了十斤山竹，只有两个坏的。剩下的每个果子都很饱满，打开的话都是非常紧密的蒜瓣儿肉。口感的话，它属于酸甜口儿的，不会那么甜腻，而且我同事还说有一些牛奶的清香。
G***3,star5,这个原框的山竹很不错，冷链运输，果品不错，均匀，很新鲜。剥开山竹内部很新鲜，白白的。京东自营购买质量有保证，水果很新鲜。推荐购买。
g***9,star5,京东自营的东西一直是我放心购买的理由。京鲜生是京东自营店，他家的山竹我已经买了几年了，没有让我失望过。很新鲜，几乎没有坏果。
