https://item.jd.com/6223237.html,"['京鲜生山竹', '6223237', '1.6kg', '泰国', '油竹', '冷藏', '5A', '泰国']"
z***9,star5,搞活动的时候买的，价格也很优惠，山竹软糯好吃，小朋友很喜欢，物流速度也很快，服务态度也很好，下次还会继续购买哦！非常值得推荐哦！
E***l,star5,一箱个个大只，有冰袋降温运输，用力一压果子开裂剥开，里面雪白的果肉露出了，瓣瓣果肉都挺大的，酸酸甜甜，没有纤维，爽滑细腻的口感，很满意
j***q,star5,看图都是实拍，又大又满足一百多就能实现山竹自由 这也太哇塞了简直不要太爱以前不怎么在京东买东西都不知道京东的好，现在买习惯了，感觉又方便又好用售后各方面都有保障，真的太优秀太赞了
鱼***4,star5,这个山竹真的很好，个头确实大，没有小的参杂，叠劵下单的，超级划算。口感也不酸，水分也足，够新鲜，太值得了。京东配送也相当快…
在***中,star5,错过了上次的预售，一直想买山竹吃，超市买了5个山竹，要了我40块，心痛啊，太贵了。这次618预售活动，果断入手，今天到货很满意，个头我觉得很可以哦，哈哈，这次可以吃了痛快了。
e***o,star5,发现这次买的3A级也挺好，个个前庭饱满，圆润香甜，很是新鲜，框子也很结实，总之非常喜欢。每天午休后来上几颗，生活老美滋了。
i***n,star5,还是有坏果的，比例上客服赔偿了10%，实际应该超出这个比例。但自营的配送是真棒，原框，4A级，好的话新鲜度也很好。还是值得的。
z***i,star5,很好吃的山竹，个头很大。京东快递送货很及时，送到家的时候还是冰凉的。晚上全家人打开来吃了，每一个果的个头都很大，每一个果都很新鲜，很甜，很好吃。几斤一下子就被抢完了。推荐。
j***7,star5,3A级 这次自己买了一些吃吃，口感很好吃，价格比线下便宜许多啊，线下很贵的，而旦这个口感很好吃，全程冷链物流，不错，女儿最爱的水果，分享一下，可以推荐！
j***6,star5,京鲜生新鲜山竹收到了，山竹很新鲜，个头均匀也挺大的，感觉品质很好，先剥开了两个很好吃。包装很好，泡沫箱加冰全程冷链物流，送货很快，很方便，服务很好。活动价也很优惠点。
u***y,star5,我买一大箱酸乳有15斤，足量很足。个头不是特别大，但是我也没买特别大的山竹，都很新鲜，今天下雨，刚到的时候淋湿了，拿回来晾干了一下。好吃还是很好吃的，这个价格很值的，就是一次买的比较多，这种我已经吃了两大盘。
是***啊,star5,都很好，冷链运输，京东水果自营买的水果很棒，快递小哥辛苦了，好大一箱搬上了楼，冰箱塞满，非常多，3A很好，一口都是肉没有籽，非常棒的。京东送货真的快，太满意了。
u***z,star5,山竹水果很新鲜，外皮光亮果子饱满，份量足，大约有90多个。收到后至今吃了几十个。没有发现坏光。支持京东自营商品，品质有保证，物流快捷，送货上门。
j***6,star5,水分充足香甜家人很满意。一次可以吃好几个，每个叶瓣都很绿很新鲜，果瓣圆滑漂亮，果肉厚实而且多汁，分量很足，很新鲜，个头大大的，，剥出来都是白白嫩嫩的，超级新鲜，味道很纯正，打开好多个，个个都新鲜，小朋友们都喜欢规格重量口感味道一口咬下去清新爽口神清气爽整个人都心情大好个头很均匀，椭圆圆的，色泽更是诱人吃了第一口就停不下来，又香又爽，水分很多
g***9,star5,山竹很新鲜，当时买的时候世面上的非常贵，现在价格跟京东买的比也很贵，京东回馈老客户这个价格还是很便宜的，不过一直没有评价，用荔枝荔枝的图片代替吧！京东自营店买的还是很放心的，作为京东多年的老客户，始终信赖京东自营！
s***1,star5,作为消费者和买家，我认为这个商品的体验非常好。首先，从物流上来说，这个商品的配送速度非常快，我下单后的第二天就收到了。其次，在打开包装后，我发现山竹的外壳非常完整，果肉也很鲜美，没有破损或者黑斑。最重要的是，山竹的口感非常好，果肉细嫩多汁，有很浓郁的甜味，非常的下饭。除此之外，山竹还是一种非常营养的水果，富含多种维生素和营养元素，对身体健康有很好的保健作用。总的来说，我非常满意这个商品的品质和体验，我会继续购买这个品牌的山竹，并且向我的朋友和家人推荐它。
豆***来,star5,京东自营的水果真便宜，比在超级市场里购买便宜多了，京东物流也很快，两三天就能收到，山竹个头大小都差不多很均匀，很新鲜，没有发现坏的。
大***延,star5,进口大山竹收到了，昨天下的单今天就到了，物流非常快，送货上门十分方便快捷，这款产品买过好多次了，还会继续回购好多次的，推荐大家购买
j***0,star5,京东的水果自营店里的山竹属于我每年都会买至少一大箱的产品，一箱十五斤，各个新鲜，我和孩子都吃的非常过瘾。价格也比较实惠，会继续买。
h***i,star5,第一次在网上买山竹，感觉也可以了，很新鲜，比在菜市场买的山竹还新鲜。收到货就迫不及待的打开尝了尝，宝宝很喜欢，大人也喜欢，有活动再购买。
s***缘,star5,自营物品，送货上门，原装进口箱子，山竹个头大，口感很不错，大人小孩都非常喜欢吃，真的来了一次山竹自由，买山竹还是要选京东，物美价廉推荐大家购买。
j***3,star5,都不能吃。买给东北老家的父母，鸡蛋和山竹一起到的，被父母放小库了，监控直接看到了，年年都买，习惯好评！比在实体店买的还要好，肉很多，还很甜。京鲜生是京东自营店，他家的山竹我已经买了几年了，没有让我失望过。大品牌的的山竹就是好喝吃，果好，叶子绿超级满意，很好，买了不后悔的产品，多次购买，超级喜欢，非常棒，孩子很喜欢，老婆也很喜欢，怎能不多次购买，推荐大家购买。快递很快就到了。
n***6,star5,完美，产品很惊艳，性价比合适，希望用的长久！很快就到了，全新正品?，包装很仔细，没有问题是正品，和实体店一样，价格还优惠，果断转粉
c***3,star5,买了7.5kg，一大箱，只有一个是坏的，能接受啦，其他的都很新鲜，也很甜，颗粒中度，物流很快，味道鲜甜，会继续回购的，不错
陈***z,star5,经济、便宜、质量非常好，与卖方描述的完全一样。非常满意，完全出乎意料，超划算，划算，购物比实体店便宜多了，非常满意网上购物。我希望京东的生意会越来越红火，物流会越来越快，包装会越来越结实。六星表扬，多一星不怕你骄傲，犹豫不决的朋友会很快下单，这是良心的推荐。它真的很好，而且价格也很高，所以以后还会在这里买。京东的物流比较想象中要快太多，早上下单没想到第二天下午就收到快递小哥哥的电话了、以后会继续关注！
P***呀,star5,味道很不错哦，价格对比外面要实惠很多的，而且个头还很大的，京东自营店的品质值得大家去试一试的年轻，送货效率还是那么的极速达
q***y,star5,比平时要便宜，囤了不少，特别特别满意?，超级好看?，客服很有礼貌，很客气，良心商家，支持！还是很喜欢吃山竹的，不错哦！
天***奋,star5,京东生鲜的价格真的很实惠，同类型果比水果店便宜很多。果子个头很大，果肉也很新鲜，京东冷链配送，速度快，包装完好，泡沫箱里面有冰袋保鲜。推荐购买
j***e,star5,京东自营店的品质还是值得信赖的，山竹果符合什么5A级，味道酸酸甜甜，很好吃。只是自己一次买了15斤，只能放冰箱，快点吃。
w***3,star5,东西已经收到！手感不错！用料扎实！质量很好！平常用基本没有问题！好，样子简单！着宝贝收到了，颜色很好看，质感也很④是我想要的！！下次还会再来！宝贝收到了，颜色很好看，质感也很好，样子简单！④是我想要的！！下次还会再来！宝贝收到了，很惊喜汁，设计合理，时尚大方，继续关注，以后会回购的
世***华,star5,总体很满意，除了个别的可能水分丢失了，就很难打开。吃的时候还是需要技巧的，经常买就掌握了。口感不错，这个山竹时间不能放，尽快食用。东西比我想象中的还要完美，十分给力，值得入手
u***p,star5,第一次在京东商城上买山竹，抱着试试的态度买了一单，还不错没有失望，几乎没有坏果出现，送货很快，孩子爱吃，价格也比较合适。
岁***0,star5,非常完美的产品，价格非常实惠，比在外面购买划算很多，不愧是大品牌，口感很爽口清甜，孩子们都很喜欢吃，性价比超高的产品，值得拥有
u***y,star5,山竹好吃的好吃，也有坏的，但售后很快就给处理了，京东真棒??！每年都会买的水果之一，京东自营的新鲜又便宜，好评，哈哈
_***_,star5,很不错，赶到活动买的，凑单一次买了两件，比日常划算很多。果子很大，新鲜度足够，拿来送礼自己吃都可以，我是自己留了一部分，送给长辈一部分。
j***y,star5,618活动价很划算，足斤足两，新鲜度很高，坏果不多，吃了近三分之一，两个坏果，上传了照片，售后也很快赔付了，过程简单时效快，真的很不错。
S***6,star5,质量很过关，品质有保障，相当不错的选择，好多朋友看我用都想买，我都推荐了。山竹太好吃了，每年都来京东订购一波酸甜可口的。
布***公,star5,果个大，好吃。吃榴莲后必备之一。惊讶的是，这次算万算，没坏果。超级喜欢生竹果的味道，总感觉吃不够的样子，反正，一箱一拆一顿。
S***6,star5,刚好做活动，价格便宜了很多，性价比超高，真的特别划算，山竹特别好吃，6A果然都很大，没有小的，5A还有一些小的，还是推荐买6A的。
S***6,star5,东西不错，还有优惠，可以放心省钱购买，不要犹豫了质量挺好，物流也很快，赞！东西比我想象中的还要完美，十分给力，值得入手。
夏***雨,star5,每年都在京东订购山竹，非常好吃，个头符合5A标准，果肉也非常好吃，酸甜可口，打算继续买几箱寄给朋友，亲测可以放心下单啦哈哈
n***q,star5,京东的水果品质还是有保证的，5A级的果子，山竹新鲜，个头大，原箱装，没有坏果，吃起来口感很好，水分也多，比外面店里便宜不少
j***v,star5,给叔叔买的，他血糖高，吃点山竹很合适，前一天下单，次日上午就到了，真是京东速度！快递小哥很给力，618快递真多，看着他们很辛苦，果子没看，完全相信京东质量！
j***t,star5,搞活动买的，非常优惠，打开箱子就有一股浓浓的山竹的味道扑鼻而来，果子相当新鲜，色泽也非常好，肉厚多汁，清甜爽口，回味无穷，每瓣肉汁水都很丰富，果肉雪白漂亮，非常之不错！
彩***忆,star5,趁着活动买的，非常价廉物美，十五斤山竹只要178元，可以说非常划算了，水果很新鲜，也很好吃，以后会接着买，物流速度也很快，上京东，放心。
吹***7,star5,真的推荐啊，快递速度特别的快，爱了爱了?宝贝质量很好，收到货第一时间打开看了，很不错?，很满意?，客服也有问必答，感谢?价格实惠，质量杠杠的，非常好的一次购物，下次还来
土***子,star5,蛮好的 几种水果买了很多一起做水果杯的 山竹的分量很多 但是其中有很多是完全打不开的 应该是还没有输就摘下来了吧 好在其他的都不错也很甜
t***小,star5,个头很大，基本没什么坏的，都好甜，好好吃，两天就吃完了哈哈哈哈，太好吃了，下次优惠再继续买，下火吃多除了贵没什么坏处了哈哈
b***a,star5,非常好的山竹，第二次购买收到的山竹个头比第一次小很多但是很新鲜，叶瓣是绿色的，山竹吃起来酸酸甜甜，去火降燥，食用榴莲的好搭配。
张***囍,star5,好吃，好吃，我买了好几次了，这次的是一个大的，很好吃好吃，买了好几次了，一直都在这里买，很好吃，好吃好吃，好吃，我买了好几次了，这次的是一个大的，很好吃
h***o,star3,盒子里好多死蚂蚁，有点膈应，送货挺快的。
j***l,star5,很新鲜大只。随便捏一下，就可以剥开，然后果肉都白白的，口感很不错。基本上都完好无损。包装也很好，给的原箱框，然后物流配送很快。
尘***0,star5,特别喜欢在京东购物，并且一直信赖京东自营的品质，无论购物前，还是收货后，有任何问题都能得到及时的帮助和解决，对于没有时间去实体店购物的群体来说，品牌品质与性价比和良好的服务是购物者长期支持回购的保证，商品本身是之前买过的，活动回购，信赖品牌。
你***u,star5,山竹收到了，个头很大，也很甜，这次是趁活动买的，有优惠，比较划算，原价买的话真的是太贵了，但这个山竹品质挺好的，很满意。
J***K,star5,山竹很新鲜，吃了几个都很新鲜，下次还会继续回购。小孩子特别喜欢吃，一会就炫了好几个个，产品质量过硬，京东水果自营第一天买，第二天就到了。?
喜***月,star5,买了十斤超级划算！！！本来看好了五斤一百五十多，过了今天变成十斤一百五十多，立马拿下，过了把山竹瘾哈哈哈哈哈哈哈，也很新鲜。
u***d,star5,爱了爱了……超级好吃易扒，京东自营送货也给力，到家直接打开干了半箱，酸甜可口超级好吃，有一个坏果算了，夏天偶尔吃点山竹去去火也是很不错的选择
岁***0,star5,发货速度非常快，隔天就送达了，满满一大筐，孩子们都很喜欢吃，价格非常实惠，比在外面购买划算很多，一直坚持在京东购买，值得拥有
岁***0,star5,价格非常实惠，一大筐，保鲜程度也是可以，发货速度非常快，孩子们都很喜欢吃，京东的水果一直坚持购买，非常信任的商家，值得信赖
t***1,star5,山竹个头中等，各个新鲜，送来的时候满满一泡沫箱，可以山竹自由一下了。果肉基本都是白白的，有2、3个不是特别好的，质量还是非常不错的。
z***x,star5,京鲜生的泰国山竹很好吃，果是正常大小。果肉吃起酸酸甜甜的，很开胃。收到时有冰袋保冷保鲜。小孩特别特别喜欢吃。下次还会续购的。
u***q,star5,一次性买两提，价格特别优惠，只有定价的一半，今年京东618搞活动，价格特别优惠，可以省好几十块钱，而且速度特别快，第二天准时到达，点个赞。
回***机,star5,山竹是最好吃的水果之一啦，虽然皮那么厚，一点不影响我一顿狂炫一大筐，买了两大筐，爸妈一筐 我一筐，大家都非常满意，吃完再来囤两筐
回***机,star5,山竹是我最喜欢的水果之一啦.特别好吃，家里爸爸妈妈也非常爱吃。搞活动的时候很值得多买点。本人炫起山竹来可快了，一天就能炫掉一筐子
j***Z,star5,买了超级多次了 每次的品质都很稳定 京东送货超级快 很满意的购物 送货上门送货到家 不管是自己吃还是送人都很合适 不错吃不吃。会继续购买的
j***Z,star5,很新鲜 很不错 卖给家里人的 怂货很快 京东的物流和品质一直都很好 价格也很不错。比其他平台会便宜很多 物美价廉。爱了 第三次购买了。很不错
j***Z,star5,回购过河多次了 京东送货上门送货到家很满意 希望一直有活动 比较便宜 15斤山竹 个别有些没成熟 不过基本都是好的 哈满意 很不错的
t***2,star5,商品很多坏的，但是我和客服说了 服务很好给我退了 网上购物这么激烈，没想到店家的服务这么好，商品质量好而价低廉，我太感谢你了！服务态度，也非常不错 很仔细的和我说清楚
T***0,star5,超级超级不错呢，很新鲜的，个头也大，京东还是靠谱的很呢，有优惠还是比较划算的呢，发货很快，物流也超级快的，京东购物很方便也很放心，下次还会继续回购
蓝***斯,star5,买了第三次啦，第一次最好，这次个头也还可以，肯定要买很多年货啦，比如水果，坚果，日用品，家用电器等等，京东货最全，物流最好，开启买买买模式哈哈，这次买的品质还是很好，推荐大家购买。
j***H,star5,买水果，还得是自营，性价比高。这次买了原框，一大框好多哦，说是3A其实挺大的，挑了半天，小的没多少。有几个坏的，概率学没办法，反正是夏天。很快客服就赔付了。总体来说非常满意。吃起来也挺清爽
收***斗,star5,这次买的山竹很新鲜，坏的很少，口感纯正，很甜。山竹这东西，基本上卖壳，和榴莲一样，肉不多，但是很好吃。快递也很快，值得推荐。
感***1,star5,"买的山竹收到了，整体感觉还不错，果实大个，果肉美味，果子收到的时候特别新鲜，山竹真心不错，味道好极了，甜甜的，很新鲜，水份足,山竹是一种非常好吃的东西，果肉甜甜的软糯的,果肉各个饱满新鲜,看着白鼓鼓的果肉,就让人非常有食欲。拨开里面像是大蒜瓣哈哈哈。"
c***3,star5,前两天刚收到，现在才来评论。桃子已经吃了两个，有两个还绿着，熟了的很好吃，饱满多汁，所以给个好评。西瓜山竹还没吃，不过已经是多次回购了，看样貌不错。
n***3,star5,感谢京东快递员，当天送达，超级快。这个大山竹真的是太棒了，个大饱满，香甜可口，孩子抓起来就吃掉了5个，全家人都爱吃的好东西
d***n,star5,东西不错，价格和外面车不多的，一直在京东买东西，不错，坏的还可以包赔，不错哈，自营品质还是值得信赖的哈，推荐购买，味道很好！
j***k,star5,质量非常好，客服态度非常非常赞，有问题及时给解决了收到啦，很不错，非常喜欢，值得购买，(*^__^*) 嘻嘻……价格很实惠，性价比很高，算是平价好物，会回购的质量非常好，完全超出期望值，发货速度非常快，包装非常仔细、严实，很满意的一次购物
大***只,star5,果核像纸一样薄重点是很甜很甜切开就会有果汁流出来，果形也均匀好看，到手还很新鲜，这价格比实体店的便宜太多了价格实惠值得购买口感不错，没损坏，果肉雪白太好吃了，而且看起来很有食欲，吃起来很新鲜
阿***六,star5,非常新鲜，山竹有大有小，一筐里有一两个坏的，大的小的都好吃，酸甜口孩子们也很喜欢吃，家里人都喜欢吃，剩下的放冰箱都没坏，挺好的，下次继续买
j***V,star5,一大框大山竹价格很实惠，性价比很高，算是平价好物，会回购的品质一级棒，包装也不错，物流很快，而且价格合理，很实惠，很喜欢
F***_,star5,买给女友降降火的，希望他喜欢吧。性价比还是挺高的，希望很好吃，如果她说好吃的话，下次再来买。希望优惠活动再大一点。京东还是我最喜欢的平台。再接再厉，把优惠活动搞起来。没有图片，就向京东平台借图片。
l***8,star5,预售的货品，配送时效随机，然还是蛮快的。全程冷链，到货完好。个头是真不大，一份好多，吃了几天就少部分坏的，相当新鲜，很甜嗷！
u***k,star5,京东生鲜就是给力，上午下单下午就到，超级新鲜，值得购买，无坏果，坏了也包赔，整体很满意，斤数也可以按照自己的用量买多或买少，挺好的
j***3,star5,非常不错，很新鲜很好吃，配送及时非常好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
低***吗,star5,比超市里便宜。闻到味道想吃了，很甜水分好多，颜色也很靓，真的很喜欢。价格比店里优惠很多果肉很嫩很饱满，水分特别多，进口软糯多汁山竹很大个很新鲜，而且很甜，很久没有吃到这么新鲜的山竹了。 网上买真便宜，一大箱子足量足量的。
z***o,star5,买给我妈吃的，家里的孩子也很喜欢吃，非常好吃，值得购买，有需要可以入手了，京东生鲜你值得拥有，物流速度超级快，非常好。。
z***6,star5,自营的水果质量是靠得住的，用泡沫箱，第二天中午就送到了，里面放了四个冰袋，大小符合描述，也没有坏的，表面还覆盖了一层有水的泡沫，山竹的质量很好，味道很正
河***格,star5,山竹很好吃就是昂贵，期待多一些优惠活动会继续关注回购的支持京东配送服务很快，包装完整很满意，质量水果很新鲜，除了贵没毛病！
L***_,star5,"京东物流一如既往的靠谱质量非常好,与卖家描述的完全一致, 真的很喜欢,完全超出期望值,发货速 度非常快,包装非常仔细、严实,京东物流公司服务态度很好,运送速度很快,很满意的一次购物质量很好, 希望更多的朋友信赖京东. 客服态度特好, 我会再次光顾的，发货迅速，态度很好，很满意！很好很好！下次有机会再找你，客服人蛮好的，东东很不错,淘到心意的宝贝是一件让人很开心的事，比心。"
青***丶,star5,品质非常好，每个都非常新鲜，非常好吃，非常去火，并且发货速度很快，到的也很快，包装的很好，到了这里也非常新鲜，总之很值得信赖
张***蛮,star5,山竹果肉雪白嫩软，味道清甜甘香，略带点酸味，润滑可口。在炎热的夏季，多吃山竹可以消火压热。别让不值得的人，伤我身，吃点山竹，消消火，生活很苦，山竹很甜。
河***格,star5,山竹很好吃购买了很多次都京东快递发货非常的快哦，保证质量包装完整会继续关注回购的期待多一些优惠多多的活动，很满意推荐一下
T***3,star5,物流快，包装没有损坏，送货上门，很及时，立刻就打开吃了，很新鲜，又大颗，播起来也很方便，我女儿也很喜欢吃，吃了还要吃，很不错，客服也及时
j***o,star5,山竹真的是大爱，之前一直很贵没下决心购买，这次京东做活动买了一箱，用水洗干净晾干，然后用塑料袋套起来，里面放两张餐巾纸吸潮，放在冰箱里慢慢吃。
我***膀,star5,山竹质量非常好，在京东上面买非常放心，送货非常快，这个价钱也很划算，包装很好，没有坏的，山竹口感很好，很甜，非常值得购买。
铁***形,star5,京东快递的速度是真让我满意，目前的快递员也很好很满意，希望能一直负责我们这片儿。这次的山竹，个头上是满意的，就是果皮略厚。
j***o,star5,快递员人好好的，快递还是京东快递好。山竹也不错，3A也就差不多大小，然后有个别坏果，客服马上帮忙处理了，很新鲜。快递速度也很快，隔天就到了，吃起来不错。
l***啊,star5,买给妈妈的 我妈给我发视频说果子小、但是非常新鲜 果叶很绿 很便宜质量也不错 果子偏小 能接受～相信京东品质?
